No.,Time,Source,Destination,Protocol,Length
56,0.125974000,192.168.45.2,192.168.45.4,IPv4,1514
57,0.126743000,192.168.45.2,192.168.45.4,IPv4,1514
58,0.127514000,192.168.45.2,192.168.45.4,IPv4,1514
59,0.128290000,192.168.45.2,192.168.45.4,IPv4,1514
60,0.129063000,192.168.45.2,192.168.45.4,IPv4,1514
61,0.129836000,192.168.45.2,192.168.45.4,IPv4,1514
62,0.130607000,192.168.45.2,192.168.45.4,IPv4,1514
63,0.131380000,192.168.45.2,192.168.45.4,IPv4,1514
64,0.132151000,192.168.45.2,192.168.45.4,IPv4,1514
65,0.132452000,192.168.45.2,192.168.45.4,UDP,564
66,0.218679000,192.168.45.2,192.168.45.4,IPv4,1514
67,0.219455000,192.168.45.2,192.168.45.4,IPv4,1514
68,0.220222000,192.168.45.2,192.168.45.4,IPv4,1514
69,0.220994000,192.168.45.2,192.168.45.4,IPv4,1514
70,0.221771000,192.168.45.2,192.168.45.4,IPv4,1514
71,0.222538000,192.168.45.2,192.168.45.4,IPv4,1514
72,0.223312000,192.168.45.2,192.168.45.4,IPv4,1514
73,0.224085000,192.168.45.2,192.168.45.4,IPv4,1514
74,0.224858000,192.168.45.2,192.168.45.4,IPv4,1514
75,0.225628000,192.168.45.2,192.168.45.4,IPv4,1514
76,0.226402000,192.168.45.2,192.168.45.4,IPv4,1514
77,0.226820000,192.168.45.2,192.168.45.4,UDP,802
78,0.291209000,192.168.45.2,192.168.45.4,IPv4,1514
79,0.291982000,192.168.45.2,192.168.45.4,IPv4,1514
80,0.292749000,192.168.45.2,192.168.45.4,IPv4,1514
81,0.293524000,192.168.45.2,192.168.45.4,IPv4,1514
82,0.294295000,192.168.45.2,192.168.45.4,IPv4,1514
83,0.295071000,192.168.45.2,192.168.45.4,IPv4,1514
84,0.295839000,192.168.45.2,192.168.45.4,IPv4,1514
85,0.296615000,192.168.45.2,192.168.45.4,IPv4,1514
86,0.297373000,192.168.45.2,192.168.45.4,IPv4,1514
87,0.298174000,192.168.45.2,192.168.45.4,IPv4,1514
88,0.298283000,192.168.45.2,192.168.45.4,UDP,210
89,0.489423000,192.168.45.2,192.168.45.4,IPv4,1514
90,0.490194000,192.168.45.2,192.168.45.4,IPv4,1514
91,0.490968000,192.168.45.2,192.168.45.4,IPv4,1514
92,0.491742000,192.168.45.2,192.168.45.4,IPv4,1514
93,0.492509000,192.168.45.2,192.168.45.4,IPv4,1514
94,0.493283000,192.168.45.2,192.168.45.4,IPv4,1514
95,0.494057000,192.168.45.2,192.168.45.4,IPv4,1514
96,0.494832000,192.168.45.2,192.168.45.4,IPv4,1514
