"Interval start","Keyframes","Non-Keyframes"
0,0,55
0.1,10,0
0.2,23,0
0.3,0,0
0.4,14,0
0.5,0,0
0.6,11,0
0.7,24,1
0.8,0,11
0.9,0,0
1,0,0
1.1,14,0
1.2,0,0
1.3,12,31
1.4,0,0
1.5,0,0
1.6,0,0
1.7,0,0
1.8,13,2
1.9,0,0
2,13,25
2.1,0,0
2.2,0,0
2.3,0,0
2.4,11,40
2.5,0,0
2.6,0,0
2.7,0,0
2.8,0,0
2.9,0,0
3,26,0
3.1,12,9
3.2,0,0
3.3,0,0
3.4,0,0
3.5,13,1
3.6,0,0
3.7,16,9
3.8,0,0
3.9,0,0
4,25,0
4.1,0,0
4.2,14,1
4.3,0,0
4.4,13,2
4.5,0,0
4.6,13,0
4.7,14,0
4.8,11,7
4.9,0,0
5,0,0
5.1,14,59
5.2,0,36
5.3,0,0
5.4,0,0
5.5,0,0
5.6,0,0
5.7,0,0
5.8,0,0
5.9,0,0
6,0,0
6.1,0,0
6.2,0,0
6.3,11,1
6.4,0,4
6.5,13,17
6.6,0,0
6.7,0,0
6.8,0,0
6.9,16,0
7,27,0
7.1,0,0
7.2,13,0
7.3,0,0
7.4,9,0
7.5,4,0
7.6,12,0
7.7,0,0
7.8,11,11
7.9,0,0
8,5,0
8.1,9,3
8.2,12,17
8.3,0,0
8.4,0,0
8.5,0,0
8.6,16,35
8.7,0,0
8.8,0,0
8.9,0,0
9,0,0
9.1,7,0
9.2,19,0
9.3,12,8
9.4,0,19
9.5,0,0
9.6,0,0
9.7,0,0
9.8,0,0
9.9,16,1
10,0,0
10.1,14,2
10.2,0,0
10.3,14,2
10.4,12,2
10.5,0,0
10.6,13,17
10.7,0,0
10.8,0,0
10.9,12,0
11,1,6
11.1,0,0
11.2,13,0
11.3,13,3
11.4,0,0
11.5,12,38
11.6,0,56
