No.,Time,Source,Destination,Protocol,Length
11,0.007082000,192.168.45.2,192.168.45.4,IPv4,1514
12,0.007856000,192.168.45.2,192.168.45.4,IPv4,1514
13,0.008629000,192.168.45.2,192.168.45.4,IPv4,1514
14,0.009396000,192.168.45.2,192.168.45.4,IPv4,1514
15,0.010171000,192.168.45.2,192.168.45.4,IPv4,1514
16,0.010936000,192.168.45.2,192.168.45.4,IPv4,1514
17,0.011731000,192.168.45.2,192.168.45.4,IPv4,1514
18,0.012489000,192.168.45.2,192.168.45.4,IPv4,1514
19,0.013263000,192.168.45.2,192.168.45.4,IPv4,1514
20,0.013559000,192.168.45.2,192.168.45.4,UDP,564
21,0.014315000,192.168.45.2,192.168.45.4,IPv4,1514
22,0.015087000,192.168.45.2,192.168.45.4,IPv4,1514
23,0.015856000,192.168.45.2,192.168.45.4,IPv4,1514
24,0.016632000,192.168.45.2,192.168.45.4,IPv4,1514
25,0.017402000,192.168.45.2,192.168.45.4,IPv4,1514
26,0.018172000,192.168.45.2,192.168.45.4,IPv4,1514
27,0.018944000,192.168.45.2,192.168.45.4,IPv4,1514
28,0.019719000,192.168.45.2,192.168.45.4,IPv4,1514
29,0.020493000,192.168.45.2,192.168.45.4,IPv4,1514
30,0.021263000,192.168.45.2,192.168.45.4,IPv4,1514
31,0.021388000,192.168.45.2,192.168.45.4,UDP,210
32,0.022142000,192.168.45.2,192.168.45.4,IPv4,1514
33,0.022914000,192.168.45.2,192.168.45.4,IPv4,1514
34,0.023690000,192.168.45.2,192.168.45.4,IPv4,1514
35,0.024456000,192.168.45.2,192.168.45.4,IPv4,1514
36,0.025230000,192.168.45.2,192.168.45.4,IPv4,1514
37,0.026003000,192.168.45.2,192.168.45.4,IPv4,1514
38,0.026778000,192.168.45.2,192.168.45.4,IPv4,1514
39,0.027546000,192.168.45.2,192.168.45.4,IPv4,1514
40,0.028321000,192.168.45.2,192.168.45.4,IPv4,1514
41,0.029095000,192.168.45.2,192.168.45.4,IPv4,1514
42,0.029868000,192.168.45.2,192.168.45.4,IPv4,1514
43,0.030281000,192.168.45.2,192.168.45.4,UDP,802
44,0.040780000,192.168.45.2,192.168.45.4,IPv4,1514
45,0.041548000,192.168.45.2,192.168.45.4,IPv4,1514
46,0.042323000,192.168.45.2,192.168.45.4,IPv4,1514
47,0.043096000,192.168.45.2,192.168.45.4,IPv4,1514
48,0.043885000,192.168.45.2,192.168.45.4,IPv4,1514
49,0.044676000,192.168.45.2,192.168.45.4,IPv4,1514
50,0.045412000,192.168.45.2,192.168.45.4,IPv4,1514
51,0.046188000,192.168.45.2,192.168.45.4,IPv4,1514
52,0.046955000,192.168.45.2,192.168.45.4,IPv4,1514
53,0.047728000,192.168.45.2,192.168.45.4,IPv4,1514
54,0.048501000,192.168.45.2,192.168.45.4,IPv4,1514
55,0.049276000,192.168.45.2,192.168.45.4,IPv4,1514
56,0.050044000,192.168.45.2,192.168.45.4,IPv4,1514
57,0.050194000,192.168.45.2,192.168.45.4,UDP,263
58,0.050947000,192.168.45.2,192.168.45.4,IPv4,1514
59,0.051722000,192.168.45.2,192.168.45.4,IPv4,1514
60,0.052495000,192.168.45.2,192.168.45.4,IPv4,1514
61,0.053269000,192.168.45.2,192.168.45.4,IPv4,1514
62,0.054039000,192.168.45.2,192.168.45.4,IPv4,1514
63,0.054811000,192.168.45.2,192.168.45.4,IPv4,1514
64,0.055584000,192.168.45.2,192.168.45.4,IPv4,1514
65,0.056358000,192.168.45.2,192.168.45.4,IPv4,1514
66,0.057127000,192.168.45.2,192.168.45.4,IPv4,1514
67,0.057899000,192.168.45.2,192.168.45.4,IPv4,1514
68,0.058286000,192.168.45.2,192.168.45.4,UDP,737
69,0.059037000,192.168.45.2,192.168.45.4,IPv4,1514
70,0.059804000,192.168.45.2,192.168.45.4,IPv4,1514
71,0.060580000,192.168.45.2,192.168.45.4,IPv4,1514
72,0.061352000,192.168.45.2,192.168.45.4,IPv4,1514
73,0.062127000,192.168.45.2,192.168.45.4,IPv4,1514
74,0.062895000,192.168.45.2,192.168.45.4,IPv4,1514
75,0.063671000,192.168.45.2,192.168.45.4,IPv4,1514
76,0.064443000,192.168.45.2,192.168.45.4,IPv4,1514
77,0.065216000,192.168.45.2,192.168.45.4,IPv4,1514
78,0.065986000,192.168.45.2,192.168.45.4,IPv4,1514
79,0.066562000,192.168.45.2,192.168.45.4,UDP,1120
80,0.067310000,192.168.45.2,192.168.45.4,IPv4,1514
81,0.068068000,192.168.45.2,192.168.45.4,IPv4,1514
82,0.068863000,192.168.45.2,192.168.45.4,IPv4,1514
83,0.069626000,192.168.45.2,192.168.45.4,IPv4,1514
84,0.070399000,192.168.45.2,192.168.45.4,IPv4,1514
85,0.071171000,192.168.45.2,192.168.45.4,IPv4,1514
86,0.071941000,192.168.45.2,192.168.45.4,IPv4,1514
87,0.072717000,192.168.45.2,192.168.45.4,IPv4,1514
88,0.073491000,192.168.45.2,192.168.45.4,IPv4,1514
89,0.074258000,192.168.45.2,192.168.45.4,IPv4,1514
90,0.075032000,192.168.45.2,192.168.45.4,IPv4,1514
91,0.075807000,192.168.45.2,192.168.45.4,IPv4,1514
92,0.076286000,192.168.45.2,192.168.45.4,UDP,927
93,0.087187000,192.168.45.2,192.168.45.4,IPv4,1514
94,0.087957000,192.168.45.2,192.168.45.4,IPv4,1514
95,0.088726000,192.168.45.2,192.168.45.4,IPv4,1514
96,0.089499000,192.168.45.2,192.168.45.4,IPv4,1514
97,0.090275000,192.168.45.2,192.168.45.4,IPv4,1514
98,0.091047000,192.168.45.2,192.168.45.4,IPv4,1514
99,0.091817000,192.168.45.2,192.168.45.4,IPv4,1514
100,0.092590000,192.168.45.2,192.168.45.4,IPv4,1514
101,0.093364000,192.168.45.2,192.168.45.4,IPv4,1514
102,0.094138000,192.168.45.2,192.168.45.4,IPv4,1514
103,0.094908000,192.168.45.2,192.168.45.4,IPv4,1514
104,0.095680000,192.168.45.2,192.168.45.4,IPv4,1514
105,0.096028000,192.168.45.2,192.168.45.4,UDP,664
106,0.106820000,192.168.45.2,192.168.45.4,IPv4,1514
107,0.107594000,192.168.45.2,192.168.45.4,IPv4,1514
108,0.108368000,192.168.45.2,192.168.45.4,IPv4,1514
109,0.109136000,192.168.45.2,192.168.45.4,IPv4,1514
110,0.109912000,192.168.45.2,192.168.45.4,IPv4,1514
111,0.110685000,192.168.45.2,192.168.45.4,IPv4,1514
112,0.111457000,192.168.45.2,192.168.45.4,IPv4,1514
113,0.112227000,192.168.45.2,192.168.45.4,IPv4,1514
114,0.112998000,192.168.45.2,192.168.45.4,IPv4,1514
115,0.113774000,192.168.45.2,192.168.45.4,IPv4,1514
116,0.114542000,192.168.45.2,192.168.45.4,IPv4,1514
117,0.115317000,192.168.45.2,192.168.45.4,IPv4,1514
118,0.116089000,192.168.45.2,192.168.45.4,IPv4,1514
119,0.116219000,192.168.45.2,192.168.45.4,UDP,230
120,0.116978000,192.168.45.2,192.168.45.4,IPv4,1514
121,0.117745000,192.168.45.2,192.168.45.4,IPv4,1514
122,0.118524000,192.168.45.2,192.168.45.4,IPv4,1514
123,0.119294000,192.168.45.2,192.168.45.4,IPv4,1514
124,0.120068000,192.168.45.2,192.168.45.4,IPv4,1514
125,0.120838000,192.168.45.2,192.168.45.4,IPv4,1514
126,0.121610000,192.168.45.2,192.168.45.4,IPv4,1514
127,0.122381000,192.168.45.2,192.168.45.4,IPv4,1514
128,0.123166000,192.168.45.2,192.168.45.4,IPv4,1514
129,0.123926000,192.168.45.2,192.168.45.4,IPv4,1514
130,0.124695000,192.168.45.2,192.168.45.4,IPv4,1514
131,0.124892000,192.168.45.2,192.168.45.4,UDP,343
132,0.166259000,192.168.45.2,192.168.45.4,IPv4,1514
133,0.167032000,192.168.45.2,192.168.45.4,IPv4,1514
134,0.167808000,192.168.45.2,192.168.45.4,IPv4,1514
135,0.168580000,192.168.45.2,192.168.45.4,IPv4,1514
136,0.169349000,192.168.45.2,192.168.45.4,IPv4,1514
137,0.170122000,192.168.45.2,192.168.45.4,IPv4,1514
138,0.170897000,192.168.45.2,192.168.45.4,IPv4,1514
139,0.171668000,192.168.45.2,192.168.45.4,IPv4,1514
140,0.172441000,192.168.45.2,192.168.45.4,IPv4,1514
141,0.173214000,192.168.45.2,192.168.45.4,IPv4,1514
142,0.173987000,192.168.45.2,192.168.45.4,IPv4,1514
143,0.174755000,192.168.45.2,192.168.45.4,IPv4,1514
144,0.175250000,192.168.45.2,192.168.45.4,UDP,948
145,0.183926000,192.168.45.2,192.168.45.4,IPv4,1514
146,0.184700000,192.168.45.2,192.168.45.4,IPv4,1514
147,0.185473000,192.168.45.2,192.168.45.4,IPv4,1514
148,0.186244000,192.168.45.2,192.168.45.4,IPv4,1514
149,0.187016000,192.168.45.2,192.168.45.4,IPv4,1514
150,0.187790000,192.168.45.2,192.168.45.4,IPv4,1514
151,0.188565000,192.168.45.2,192.168.45.4,IPv4,1514
152,0.189332000,192.168.45.2,192.168.45.4,IPv4,1514
153,0.190107000,192.168.45.2,192.168.45.4,IPv4,1514
154,0.190883000,192.168.45.2,192.168.45.4,IPv4,1514
155,0.191653000,192.168.45.2,192.168.45.4,IPv4,1514
156,0.192422000,192.168.45.2,192.168.45.4,IPv4,1514
157,0.192841000,192.168.45.2,192.168.45.4,UDP,804
158,0.222969000,192.168.45.2,192.168.45.4,IPv4,1514
159,0.223735000,192.168.45.2,192.168.45.4,IPv4,1514
160,0.224510000,192.168.45.2,192.168.45.4,IPv4,1514
161,0.225280000,192.168.45.2,192.168.45.4,IPv4,1514
162,0.226055000,192.168.45.2,192.168.45.4,IPv4,1514
163,0.226828000,192.168.45.2,192.168.45.4,IPv4,1514
164,0.227597000,192.168.45.2,192.168.45.4,IPv4,1514
165,0.228371000,192.168.45.2,192.168.45.4,IPv4,1514
166,0.229147000,192.168.45.2,192.168.45.4,IPv4,1514
167,0.229919000,192.168.45.2,192.168.45.4,IPv4,1514
168,0.230273000,192.168.45.2,192.168.45.4,UDP,676
169,0.279335000,192.168.45.2,192.168.45.4,IPv4,1514
170,0.280108000,192.168.45.2,192.168.45.4,IPv4,1514
171,0.280883000,192.168.45.2,192.168.45.4,IPv4,1514
172,0.281652000,192.168.45.2,192.168.45.4,IPv4,1514
173,0.282421000,192.168.45.2,192.168.45.4,IPv4,1514
174,0.283198000,192.168.45.2,192.168.45.4,IPv4,1514
175,0.283972000,192.168.45.2,192.168.45.4,IPv4,1514
176,0.284741000,192.168.45.2,192.168.45.4,IPv4,1514
177,0.285514000,192.168.45.2,192.168.45.4,IPv4,1514
178,0.286289000,192.168.45.2,192.168.45.4,IPv4,1514
179,0.287061000,192.168.45.2,192.168.45.4,IPv4,1514
180,0.287831000,192.168.45.2,192.168.45.4,IPv4,1514
181,0.288198000,192.168.45.2,192.168.45.4,UDP,706
182,0.288951000,192.168.45.2,192.168.45.4,IPv4,1514
183,0.289724000,192.168.45.2,192.168.45.4,IPv4,1514
184,0.290494000,192.168.45.2,192.168.45.4,IPv4,1514
185,0.291267000,192.168.45.2,192.168.45.4,IPv4,1514
186,0.292042000,192.168.45.2,192.168.45.4,IPv4,1514
