No.,Time,Source,Destination,Protocol,Length
172,0.125961000,192.168.45.2,192.168.45.4,IPv4,1514
173,0.126731000,192.168.45.2,192.168.45.4,IPv4,1514
174,0.127508000,192.168.45.2,192.168.45.4,IPv4,1514
175,0.128274000,192.168.45.2,192.168.45.4,IPv4,1514
176,0.129052000,192.168.45.2,192.168.45.4,IPv4,1514
177,0.129820000,192.168.45.2,192.168.45.4,IPv4,1514
178,0.130594000,192.168.45.2,192.168.45.4,IPv4,1514
179,0.131367000,192.168.45.2,192.168.45.4,IPv4,1514
180,0.132137000,192.168.45.2,192.168.45.4,IPv4,1514
181,0.132439000,192.168.45.2,192.168.45.4,UDP,564
296,0.218665000,192.168.45.2,192.168.45.4,IPv4,1514
297,0.219440000,192.168.45.2,192.168.45.4,IPv4,1514
298,0.220209000,192.168.45.2,192.168.45.4,IPv4,1514
299,0.220983000,192.168.45.2,192.168.45.4,IPv4,1514
300,0.221756000,192.168.45.2,192.168.45.4,IPv4,1514
301,0.222525000,192.168.45.2,192.168.45.4,IPv4,1514
302,0.223301000,192.168.45.2,192.168.45.4,IPv4,1514
303,0.224072000,192.168.45.2,192.168.45.4,IPv4,1514
304,0.224845000,192.168.45.2,192.168.45.4,IPv4,1514
305,0.225614000,192.168.45.2,192.168.45.4,IPv4,1514
306,0.226389000,192.168.45.2,192.168.45.4,IPv4,1514
307,0.226807000,192.168.45.2,192.168.45.4,UDP,802
394,0.291194000,192.168.45.2,192.168.45.4,IPv4,1514
395,0.291967000,192.168.45.2,192.168.45.4,IPv4,1514
396,0.292739000,192.168.45.2,192.168.45.4,IPv4,1514
397,0.293511000,192.168.45.2,192.168.45.4,IPv4,1514
398,0.294284000,192.168.45.2,192.168.45.4,IPv4,1514
399,0.295059000,192.168.45.2,192.168.45.4,IPv4,1514
400,0.295827000,192.168.45.2,192.168.45.4,IPv4,1514
401,0.296600000,192.168.45.2,192.168.45.4,IPv4,1514
402,0.297376000,192.168.45.2,192.168.45.4,IPv4,1514
403,0.298147000,192.168.45.2,192.168.45.4,IPv4,1514
404,0.298268000,192.168.45.2,192.168.45.4,UDP,210
661,0.489410000,192.168.45.2,192.168.45.4,IPv4,1514
662,0.490180000,192.168.45.2,192.168.45.4,IPv4,1514
663,0.490953000,192.168.45.2,192.168.45.4,IPv4,1514
664,0.491724000,192.168.45.2,192.168.45.4,IPv4,1514
665,0.492494000,192.168.45.2,192.168.45.4,IPv4,1514
666,0.493270000,192.168.45.2,192.168.45.4,IPv4,1514
667,0.494043000,192.168.45.2,192.168.45.4,IPv4,1514
668,0.494816000,192.168.45.2,192.168.45.4,IPv4,1514
669,0.495588000,192.168.45.2,192.168.45.4,IPv4,1514
670,0.496358000,192.168.45.2,192.168.45.4,IPv4,1514
671,0.497132000,192.168.45.2,192.168.45.4,IPv4,1514
672,0.497909000,192.168.45.2,192.168.45.4,IPv4,1514
673,0.498675000,192.168.45.2,192.168.45.4,IPv4,1514
674,0.498825000,192.168.45.2,192.168.45.4,UDP,263
853,0.631291000,192.168.45.2,192.168.45.4,IPv4,1514
854,0.632065000,192.168.45.2,192.168.45.4,IPv4,1514
855,0.632842000,192.168.45.2,192.168.45.4,IPv4,1514
856,0.633613000,192.168.45.2,192.168.45.4,IPv4,1514
857,0.634382000,192.168.45.2,192.168.45.4,IPv4,1514
858,0.635156000,192.168.45.2,192.168.45.4,IPv4,1514
859,0.635931000,192.168.45.2,192.168.45.4,IPv4,1514
860,0.636698000,192.168.45.2,192.168.45.4,IPv4,1514
861,0.637472000,192.168.45.2,192.168.45.4,IPv4,1514
862,0.638248000,192.168.45.2,192.168.45.4,IPv4,1514
863,0.638630000,192.168.45.2,192.168.45.4,UDP,737
960,0.711443000,192.168.45.2,192.168.45.4,IPv4,1514
961,0.712212000,192.168.45.2,192.168.45.4,IPv4,1514
962,0.712986000,192.168.45.2,192.168.45.4,IPv4,1514
963,0.713758000,192.168.45.2,192.168.45.4,IPv4,1514
964,0.714533000,192.168.45.2,192.168.45.4,IPv4,1514
965,0.715293000,192.168.45.2,192.168.45.4,IPv4,1514
966,0.716088000,192.168.45.2,192.168.45.4,IPv4,1514
967,0.716850000,192.168.45.2,192.168.45.4,IPv4,1514
968,0.717623000,192.168.45.2,192.168.45.4,IPv4,1514
969,0.718393000,192.168.45.2,192.168.45.4,IPv4,1514
970,0.719166000,192.168.45.2,192.168.45.4,IPv4,1514
971,0.719938000,192.168.45.2,192.168.45.4,IPv4,1514
972,0.720409000,192.168.45.2,192.168.45.4,UDP,927
1065,0.791081000,192.168.45.2,192.168.45.4,IPv4,1514
1066,0.791847000,192.168.45.2,192.168.45.4,IPv4,1514
1067,0.792622000,192.168.45.2,192.168.45.4,IPv4,1514
1068,0.793398000,192.168.45.2,192.168.45.4,IPv4,1514
1069,0.794169000,192.168.45.2,192.168.45.4,IPv4,1514
1070,0.794938000,192.168.45.2,192.168.45.4,IPv4,1514
1071,0.795712000,192.168.45.2,192.168.45.4,IPv4,1514
1072,0.796487000,192.168.45.2,192.168.45.4,IPv4,1514
1073,0.797259000,192.168.45.2,192.168.45.4,IPv4,1514
1074,0.798027000,192.168.45.2,192.168.45.4,IPv4,1514
1075,0.798606000,192.168.45.2,192.168.45.4,UDP,1120
