No.,Time,Source,Destination,Protocol,Length
1,0.000000000,192.168.45.2,192.168.45.4,IPv4,1514
2,0.000789000,192.168.45.2,192.168.45.4,IPv4,1514
3,0.001529000,192.168.45.2,192.168.45.4,IPv4,1514
4,0.002338000,192.168.45.2,192.168.45.4,IPv4,1514
5,0.003077000,192.168.45.2,192.168.45.4,IPv4,1514
6,0.003850000,192.168.45.2,192.168.45.4,IPv4,1514
7,0.004621000,192.168.45.2,192.168.45.4,IPv4,1514
8,0.005393000,192.168.45.2,192.168.45.4,IPv4,1514
9,0.006164000,192.168.45.2,192.168.45.4,IPv4,1514
10,0.006342000,192.168.45.2,192.168.45.4,UDP,315
11,0.007093000,192.168.45.2,192.168.45.4,IPv4,1514
12,0.007867000,192.168.45.2,192.168.45.4,IPv4,1514
13,0.008635000,192.168.45.2,192.168.45.4,IPv4,1514
14,0.009409000,192.168.45.2,192.168.45.4,IPv4,1514
15,0.010184000,192.168.45.2,192.168.45.4,IPv4,1514
16,0.010958000,192.168.45.2,192.168.45.4,IPv4,1514
17,0.011726000,192.168.45.2,192.168.45.4,IPv4,1514
18,0.012500000,192.168.45.2,192.168.45.4,IPv4,1514
19,0.013272000,192.168.45.2,192.168.45.4,IPv4,1514
20,0.014046000,192.168.45.2,192.168.45.4,IPv4,1514
21,0.014374000,192.168.45.2,192.168.45.4,UDP,625
22,0.015123000,192.168.45.2,192.168.45.4,IPv4,1514
23,0.015897000,192.168.45.2,192.168.45.4,IPv4,1514
24,0.016671000,192.168.45.2,192.168.45.4,IPv4,1514
25,0.017440000,192.168.45.2,192.168.45.4,IPv4,1514
26,0.018212000,192.168.45.2,192.168.45.4,IPv4,1514
27,0.018988000,192.168.45.2,192.168.45.4,IPv4,1514
28,0.019760000,192.168.45.2,192.168.45.4,IPv4,1514
29,0.020529000,192.168.45.2,192.168.45.4,IPv4,1514
30,0.021305000,192.168.45.2,192.168.45.4,IPv4,1514
31,0.022076000,192.168.45.2,192.168.45.4,IPv4,1514
32,0.022850000,192.168.45.2,192.168.45.4,IPv4,1514
33,0.023618000,192.168.45.2,192.168.45.4,IPv4,1514
34,0.024393000,192.168.45.2,192.168.45.4,IPv4,1514
35,0.025167000,192.168.45.2,192.168.45.4,IPv4,1514
36,0.025941000,192.168.45.2,192.168.45.4,IPv4,1514
37,0.026711000,192.168.45.2,192.168.45.4,IPv4,1514
38,0.027496000,192.168.45.2,192.168.45.4,IPv4,1514
39,0.028294000,192.168.45.2,192.168.45.4,IPv4,1514
40,0.029027000,192.168.45.2,192.168.45.4,IPv4,1514
41,0.029799000,192.168.45.2,192.168.45.4,IPv4,1514
42,0.030572000,192.168.45.2,192.168.45.4,IPv4,1514
43,0.031347000,192.168.45.2,192.168.45.4,IPv4,1514
44,0.032116000,192.168.45.2,192.168.45.4,IPv4,1514
45,0.032888000,192.168.45.2,192.168.45.4,IPv4,1514
46,0.033662000,192.168.45.2,192.168.45.4,IPv4,1514
47,0.034437000,192.168.45.2,192.168.45.4,IPv4,1514
48,0.034776000,192.168.45.2,192.168.45.4,UDP,651
49,0.035526000,192.168.45.2,192.168.45.4,IPv4,1514
50,0.036303000,192.168.45.2,192.168.45.4,IPv4,1514
51,0.037071000,192.168.45.2,192.168.45.4,IPv4,1514
52,0.037845000,192.168.45.2,192.168.45.4,IPv4,1514
53,0.038617000,192.168.45.2,192.168.45.4,IPv4,1514
54,0.039392000,192.168.45.2,192.168.45.4,IPv4,1514
55,0.040161000,192.168.45.2,192.168.45.4,IPv4,1514
56,0.040934000,192.168.45.2,192.168.45.4,IPv4,1514
57,0.041710000,192.168.45.2,192.168.45.4,IPv4,1514
58,0.042477000,192.168.45.2,192.168.45.4,IPv4,1514
59,0.042686000,192.168.45.2,192.168.45.4,UDP,372
60,0.043434000,192.168.45.2,192.168.45.4,IPv4,1514
61,0.044208000,192.168.45.2,192.168.45.4,IPv4,1514
62,0.044980000,192.168.45.2,192.168.45.4,IPv4,1514
63,0.045749000,192.168.45.2,192.168.45.4,IPv4,1514
64,0.046525000,192.168.45.2,192.168.45.4,IPv4,1514
65,0.047298000,192.168.45.2,192.168.45.4,IPv4,1514
66,0.048071000,192.168.45.2,192.168.45.4,IPv4,1514
