No.,Time,Source,Destination,Protocol,Length
1,0.000000000,192.168.45.2,192.168.45.4,IPv4,1514
2,0.000768000,192.168.45.2,192.168.45.4,IPv4,1514
3,0.001540000,192.168.45.2,192.168.45.4,IPv4,1514
4,0.002307000,192.168.45.2,192.168.45.4,IPv4,1514
5,0.003087000,192.168.45.2,192.168.45.4,IPv4,1514
6,0.003862000,192.168.45.2,192.168.45.4,IPv4,1514
7,0.004624000,192.168.45.2,192.168.45.4,IPv4,1514
8,0.005403000,192.168.45.2,192.168.45.4,IPv4,1514
9,0.006177000,192.168.45.2,192.168.45.4,IPv4,1514
10,0.006351000,192.168.45.2,192.168.45.4,UDP,318
11,0.007103000,192.168.45.2,192.168.45.4,IPv4,1514
12,0.007880000,192.168.45.2,192.168.45.4,IPv4,1514
13,0.008651000,192.168.45.2,192.168.45.4,IPv4,1514
14,0.009420000,192.168.45.2,192.168.45.4,IPv4,1514
15,0.010196000,192.168.45.2,192.168.45.4,IPv4,1514
16,0.010968000,192.168.45.2,192.168.45.4,IPv4,1514
17,0.011740000,192.168.45.2,192.168.45.4,IPv4,1514
18,0.012510000,192.168.45.2,192.168.45.4,IPv4,1514
19,0.013283000,192.168.45.2,192.168.45.4,IPv4,1514
20,0.013583000,192.168.45.2,192.168.45.4,UDP,564
21,0.014335000,192.168.45.2,192.168.45.4,IPv4,1514
22,0.015110000,192.168.45.2,192.168.45.4,IPv4,1514
23,0.015878000,192.168.45.2,192.168.45.4,IPv4,1514
24,0.016653000,192.168.45.2,192.168.45.4,IPv4,1514
25,0.017425000,192.168.45.2,192.168.45.4,IPv4,1514
26,0.018194000,192.168.45.2,192.168.45.4,IPv4,1514
27,0.018969000,192.168.45.2,192.168.45.4,IPv4,1514
28,0.019741000,192.168.45.2,192.168.45.4,IPv4,1514
29,0.020517000,192.168.45.2,192.168.45.4,IPv4,1514
30,0.021286000,192.168.45.2,192.168.45.4,IPv4,1514
31,0.021410000,192.168.45.2,192.168.45.4,UDP,210
32,0.022161000,192.168.45.2,192.168.45.4,IPv4,1514
33,0.022936000,192.168.45.2,192.168.45.4,IPv4,1514
34,0.023710000,192.168.45.2,192.168.45.4,IPv4,1514
35,0.024478000,192.168.45.2,192.168.45.4,IPv4,1514
36,0.025252000,192.168.45.2,192.168.45.4,IPv4,1514
37,0.026026000,192.168.45.2,192.168.45.4,IPv4,1514
38,0.026798000,192.168.45.2,192.168.45.4,IPv4,1514
