No.,Time,Source,Destination,Protocol,Length
11,0.007103000,192.168.45.2,192.168.45.4,IPv4,1514
12,0.007880000,192.168.45.2,192.168.45.4,IPv4,1514
13,0.008651000,192.168.45.2,192.168.45.4,IPv4,1514
14,0.009420000,192.168.45.2,192.168.45.4,IPv4,1514
15,0.010196000,192.168.45.2,192.168.45.4,IPv4,1514
16,0.010968000,192.168.45.2,192.168.45.4,IPv4,1514
17,0.011740000,192.168.45.2,192.168.45.4,IPv4,1514
18,0.012510000,192.168.45.2,192.168.45.4,IPv4,1514
19,0.013283000,192.168.45.2,192.168.45.4,IPv4,1514
20,0.013583000,192.168.45.2,192.168.45.4,UDP,564
21,0.014335000,192.168.45.2,192.168.45.4,IPv4,1514
22,0.015110000,192.168.45.2,192.168.45.4,IPv4,1514
23,0.015878000,192.168.45.2,192.168.45.4,IPv4,1514
24,0.016653000,192.168.45.2,192.168.45.4,IPv4,1514
25,0.017425000,192.168.45.2,192.168.45.4,IPv4,1514
26,0.018194000,192.168.45.2,192.168.45.4,IPv4,1514
27,0.018969000,192.168.45.2,192.168.45.4,IPv4,1514
28,0.019741000,192.168.45.2,192.168.45.4,IPv4,1514
29,0.020517000,192.168.45.2,192.168.45.4,IPv4,1514
30,0.021286000,192.168.45.2,192.168.45.4,IPv4,1514
31,0.021410000,192.168.45.2,192.168.45.4,UDP,210
32,0.022161000,192.168.45.2,192.168.45.4,IPv4,1514
33,0.022936000,192.168.45.2,192.168.45.4,IPv4,1514
34,0.023710000,192.168.45.2,192.168.45.4,IPv4,1514
35,0.024478000,192.168.45.2,192.168.45.4,IPv4,1514
36,0.025252000,192.168.45.2,192.168.45.4,IPv4,1514
37,0.026026000,192.168.45.2,192.168.45.4,IPv4,1514
38,0.026798000,192.168.45.2,192.168.45.4,IPv4,1514
39,0.027569000,192.168.45.2,192.168.45.4,IPv4,1514
40,0.028344000,192.168.45.2,192.168.45.4,IPv4,1514
41,0.029116000,192.168.45.2,192.168.45.4,IPv4,1514
42,0.029889000,192.168.45.2,192.168.45.4,IPv4,1514
43,0.030305000,192.168.45.2,192.168.45.4,UDP,802
57,0.040803000,192.168.45.2,192.168.45.4,IPv4,1514
58,0.041568000,192.168.45.2,192.168.45.4,IPv4,1514
59,0.042346000,192.168.45.2,192.168.45.4,IPv4,1514
60,0.043119000,192.168.45.2,192.168.45.4,IPv4,1514
61,0.043892000,192.168.45.2,192.168.45.4,IPv4,1514
62,0.044660000,192.168.45.2,192.168.45.4,IPv4,1514
63,0.045433000,192.168.45.2,192.168.45.4,IPv4,1514
64,0.046208000,192.168.45.2,192.168.45.4,IPv4,1514
65,0.046976000,192.168.45.2,192.168.45.4,IPv4,1514
66,0.047751000,192.168.45.2,192.168.45.4,IPv4,1514
67,0.048525000,192.168.45.2,192.168.45.4,IPv4,1514
68,0.049293000,192.168.45.2,192.168.45.4,IPv4,1514
