No.,Time,Source,Destination,Protocol,Length
1,0.000000000,192.168.45.2,192.168.45.4,IPv4,1514
2,0.000768000,192.168.45.2,192.168.45.4,IPv4,1514
3,0.001540000,192.168.45.2,192.168.45.4,IPv4,1514
4,0.002307000,192.168.45.2,192.168.45.4,IPv4,1514
5,0.003087000,192.168.45.2,192.168.45.4,IPv4,1514
6,0.003862000,192.168.45.2,192.168.45.4,IPv4,1514
7,0.004624000,192.168.45.2,192.168.45.4,IPv4,1514
8,0.005403000,192.168.45.2,192.168.45.4,IPv4,1514
9,0.006177000,192.168.45.2,192.168.45.4,IPv4,1514
10,0.006351000,192.168.45.2,192.168.45.4,UDP,318
44,0.031056000,192.168.45.2,192.168.45.4,IPv4,1514
45,0.031824000,192.168.45.2,192.168.45.4,IPv4,1514
46,0.032598000,192.168.45.2,192.168.45.4,IPv4,1514
47,0.033371000,192.168.45.2,192.168.45.4,IPv4,1514
48,0.034143000,192.168.45.2,192.168.45.4,IPv4,1514
49,0.034916000,192.168.45.2,192.168.45.4,IPv4,1514
50,0.035688000,192.168.45.2,192.168.45.4,IPv4,1514
51,0.036462000,192.168.45.2,192.168.45.4,IPv4,1514
52,0.037233000,192.168.45.2,192.168.45.4,IPv4,1514
53,0.038006000,192.168.45.2,192.168.45.4,IPv4,1514
54,0.038777000,192.168.45.2,192.168.45.4,IPv4,1514
55,0.039551000,192.168.45.2,192.168.45.4,IPv4,1514
56,0.040051000,192.168.45.2,192.168.45.4,UDP,972
106,0.077054000,192.168.45.2,192.168.45.4,IPv4,1514
107,0.077826000,192.168.45.2,192.168.45.4,IPv4,1514
108,0.078601000,192.168.45.2,192.168.45.4,IPv4,1514
109,0.079368000,192.168.45.2,192.168.45.4,IPv4,1514
110,0.080141000,192.168.45.2,192.168.45.4,IPv4,1514
111,0.080917000,192.168.45.2,192.168.45.4,IPv4,1514
112,0.081690000,192.168.45.2,192.168.45.4,IPv4,1514
113,0.082460000,192.168.45.2,192.168.45.4,IPv4,1514
114,0.083232000,192.168.45.2,192.168.45.4,IPv4,1514
115,0.084006000,192.168.45.2,192.168.45.4,IPv4,1514
116,0.084783000,192.168.45.2,192.168.45.4,IPv4,1514
117,0.085549000,192.168.45.2,192.168.45.4,IPv4,1514
118,0.086319000,192.168.45.2,192.168.45.4,IPv4,1514
119,0.086453000,192.168.45.2,192.168.45.4,UDP,221
133,0.096803000,192.168.45.2,192.168.45.4,IPv4,1514
