"Interval start","All packets","Keyframes","Non-Keyframes"
0,85,0,85
1,85,0,85
2,83,10,73
3,85,12,73
4,85,11,74
5,84,0,84
6,84,0,84
7,84,14,70
8,84,0,84
9,85,0,85
10,83,11,72
11,83,13,70
12,83,11,72
13,87,0,87
14,85,0,85
15,86,0,86
16,84,0,84
17,85,0,85
18,84,0,84
19,84,14,70
20,85,0,85
21,85,12,73
22,83,0,83
23,83,0,83
24,83,0,83
25,83,0,83
26,83,0,83
27,84,0,84
28,83,0,83
29,84,13,71
30,86,0,86
31,84,0,84
32,85,13,72
33,84,0,84
34,85,0,85
35,85,0,85
36,84,0,84
37,85,0,85
38,85,6,79
39,85,5,80
40,84,0,84
41,83,0,83
42,83,0,83
43,84,0,84
44,84,0,84
45,85,0,85
46,85,0,85
47,84,0,84
48,84,26,58
49,84,0,84
50,83,11,72
51,84,1,83
52,84,0,84
53,83,0,83
54,84,0,84
55,85,0,85
56,84,13,71
57,85,0,85
58,85,0,85
59,85,16,69
60,86,0,86
61,86,0,86
62,85,0,85
63,86,0,86
64,84,12,72
65,84,13,71
66,85,0,85
67,85,8,77
68,83,6,77
69,83,0,83
70,83,0,83
71,84,13,71
72,85,0,85
73,84,0,84
74,84,13,71
75,84,14,70
76,85,3,82
77,85,8,77
78,86,0,86
79,85,0,85
80,86,0,86
81,86,0,86
82,85,14,71
83,84,0,84
84,84,0,84
85,84,0,84
86,84,0,84
87,83,0,83
88,85,0,85
89,84,0,84
90,84,0,84
91,85,0,85
92,84,0,84
93,84,0,84
94,84,0,84
95,85,0,85
96,84,0,84
97,83,0,83
98,84,0,84
99,84,0,84
100,84,0,84
101,85,0,85
102,83,11,72
103,83,0,83
104,82,0,82
105,83,13,70
106,85,0,85
107,84,0,84
108,84,0,84
109,85,0,85
110,84,16,68
111,83,0,83
112,82,0,82
113,83,27,56
114,84,0,84
115,84,0,84
116,84,13,71
117,84,0,84
118,85,0,85
119,83,9,74
120,85,4,81
121,83,0,83
122,86,12,74
123,83,0,83
124,84,0,84
125,83,11,72
126,83,0,83
127,83,0,83
128,83,0,83
129,84,14,70
130,85,0,85
131,85,0,85
132,84,12,72
133,84,0,84
134,84,0,84
135,84,0,84
136,83,0,83
137,84,16,68
138,85,0,85
139,85,0,85
140,85,0,85
141,85,0,85
142,85,0,85
143,86,0,86
144,84,0,84
145,84,0,84
146,86,0,86
147,84,26,58
148,83,0,83
149,83,0,83
150,84,12,72
151,85,0,85
152,84,0,84
153,85,0,85
154,84,0,84
155,83,0,83
156,85,0,85
157,85,0,85
158,85,0,85
159,86,16,70
160,84,0,84
161,86,0,86
162,83,14,69
163,82,0,82
164,84,0,84
165,84,14,70
166,84,0,84
167,85,12,73
168,84,0,84
169,84,0,84
170,84,13,71
171,84,0,84
172,84,0,84
173,83,0,83
174,83,0,83
175,83,12,71
176,84,1,83
177,84,0,84
178,83,0,83
179,84,13,71
180,84,0,84
181,85,3,82
182,82,10,72
183,84,0,84
184,83,0,83
185,84,12,72
186,22,0,22
