No.,Time,Source,Destination,Protocol,Length
1,0.000000000,192.168.45.2,192.168.45.4,IPv4,1514
2,0.012362000,192.168.45.2,192.168.45.4,IPv4,1514
3,0.024721000,192.168.45.2,192.168.45.4,IPv4,1514
4,0.037082000,192.168.45.2,192.168.45.4,IPv4,1514
5,0.049439000,192.168.45.2,192.168.45.4,IPv4,1514
6,0.061794000,192.168.45.2,192.168.45.4,IPv4,1514
7,0.074155000,192.168.45.2,192.168.45.4,IPv4,1514
8,0.086514000,192.168.45.2,192.168.45.4,IPv4,1514
9,0.098877000,192.168.45.2,192.168.45.4,IPv4,1514
10,0.101878000,192.168.45.2,192.168.45.4,UDP,318
44,0.496918000,192.168.45.2,192.168.45.4,IPv4,1514
45,0.509277000,192.168.45.2,192.168.45.4,IPv4,1514
46,0.521636000,192.168.45.2,192.168.45.4,IPv4,1514
47,0.533990000,192.168.45.2,192.168.45.4,IPv4,1514
48,0.546352000,192.168.45.2,192.168.45.4,IPv4,1514
49,0.558711000,192.168.45.2,192.168.45.4,IPv4,1514
50,0.571071000,192.168.45.2,192.168.45.4,IPv4,1514
51,0.583445000,192.168.45.2,192.168.45.4,IPv4,1514
52,0.595788000,192.168.45.2,192.168.45.4,IPv4,1514
53,0.608146000,192.168.45.2,192.168.45.4,IPv4,1514
54,0.620508000,192.168.45.2,192.168.45.4,IPv4,1514
55,0.632866000,192.168.45.2,192.168.45.4,IPv4,1514
56,0.640985000,192.168.45.2,192.168.45.4,UDP,972
106,1.232926000,192.168.45.2,192.168.45.4,IPv4,1514
107,1.245287000,192.168.45.2,192.168.45.4,IPv4,1514
108,1.257645000,192.168.45.2,192.168.45.4,IPv4,1514
109,1.270000000,192.168.45.2,192.168.45.4,IPv4,1514
110,1.282362000,192.168.45.2,192.168.45.4,IPv4,1514
111,1.294722000,192.168.45.2,192.168.45.4,IPv4,1514
112,1.307082000,192.168.45.2,192.168.45.4,IPv4,1514
113,1.319435000,192.168.45.2,192.168.45.4,IPv4,1514
114,1.331794000,192.168.45.2,192.168.45.4,IPv4,1514
115,1.344161000,192.168.45.2,192.168.45.4,IPv4,1514
116,1.356515000,192.168.45.2,192.168.45.4,IPv4,1514
117,1.368867000,192.168.45.2,192.168.45.4,IPv4,1514
118,1.381227000,192.168.45.2,192.168.45.4,IPv4,1514
119,1.383474000,192.168.45.2,192.168.45.4,UDP,221
133,1.548875000,192.168.45.2,192.168.45.4,IPv4,1514
134,1.561234000,192.168.45.2,192.168.45.4,IPv4,1514
135,1.573588000,192.168.45.2,192.168.45.4,IPv4,1514
136,1.585951000,192.168.45.2,192.168.45.4,IPv4,1514
