No.,Time,Source,Destination,Protocol,Length
172,2.015590000,192.168.45.2,192.168.45.4,IPv4,1514
173,2.027926000,192.168.45.2,192.168.45.4,IPv4,1514
174,2.040290000,192.168.45.2,192.168.45.4,IPv4,1514
175,2.052654000,192.168.45.2,192.168.45.4,IPv4,1514
176,2.065016000,192.168.45.2,192.168.45.4,IPv4,1514
177,2.077376000,192.168.45.2,192.168.45.4,IPv4,1514
178,2.089729000,192.168.45.2,192.168.45.4,IPv4,1514
179,2.102089000,192.168.45.2,192.168.45.4,IPv4,1514
180,2.114437000,192.168.45.2,192.168.45.4,IPv4,1514
181,2.119374000,192.168.45.2,192.168.45.4,UDP,564
296,3.498863000,192.168.45.2,192.168.45.4,IPv4,1514
297,3.511228000,192.168.45.2,192.168.45.4,IPv4,1514
298,3.523587000,192.168.45.2,192.168.45.4,IPv4,1514
299,3.535982000,192.168.45.2,192.168.45.4,IPv4,1514
300,3.548303000,192.168.45.2,192.168.45.4,IPv4,1514
301,3.560663000,192.168.45.2,192.168.45.4,IPv4,1514
302,3.573021000,192.168.45.2,192.168.45.4,IPv4,1514
303,3.585381000,192.168.45.2,192.168.45.4,IPv4,1514
304,3.597739000,192.168.45.2,192.168.45.4,IPv4,1514
305,3.610099000,192.168.45.2,192.168.45.4,IPv4,1514
306,3.622458000,192.168.45.2,192.168.45.4,IPv4,1514
307,3.629244000,192.168.45.2,192.168.45.4,UDP,802
394,4.659328000,192.168.45.2,192.168.45.4,IPv4,1514
395,4.671688000,192.168.45.2,192.168.45.4,IPv4,1514
396,4.684048000,192.168.45.2,192.168.45.4,IPv4,1514
397,4.696407000,192.168.45.2,192.168.45.4,IPv4,1514
398,4.708765000,192.168.45.2,192.168.45.4,IPv4,1514
399,4.721124000,192.168.45.2,192.168.45.4,IPv4,1514
400,4.733489000,192.168.45.2,192.168.45.4,IPv4,1514
401,4.745827000,192.168.45.2,192.168.45.4,IPv4,1514
402,4.758203000,192.168.45.2,192.168.45.4,IPv4,1514
403,4.770557000,192.168.45.2,192.168.45.4,IPv4,1514
404,4.772718000,192.168.45.2,192.168.45.4,UDP,210
661,7.830756000,192.168.45.2,192.168.45.4,IPv4,1514
662,7.843116000,192.168.45.2,192.168.45.4,IPv4,1514
663,7.855471000,192.168.45.2,192.168.45.4,IPv4,1514
664,7.867831000,192.168.45.2,192.168.45.4,IPv4,1514
665,7.880191000,192.168.45.2,192.168.45.4,IPv4,1514
666,7.892551000,192.168.45.2,192.168.45.4,IPv4,1514
667,7.904906000,192.168.45.2,192.168.45.4,IPv4,1514
668,7.917268000,192.168.45.2,192.168.45.4,IPv4,1514
669,7.929627000,192.168.45.2,192.168.45.4,IPv4,1514
670,7.941986000,192.168.45.2,192.168.45.4,IPv4,1514
671,7.954346000,192.168.45.2,192.168.45.4,IPv4,1514
672,7.966701000,192.168.45.2,192.168.45.4,IPv4,1514
673,7.979062000,192.168.45.2,192.168.45.4,IPv4,1514
674,7.981632000,192.168.45.2,192.168.45.4,UDP,263
853,10.100927000,192.168.45.2,192.168.45.4,IPv4,1514
854,10.113287000,192.168.45.2,192.168.45.4,IPv4,1514
855,10.125648000,192.168.45.2,192.168.45.4,IPv4,1514
856,10.138006000,192.168.45.2,192.168.45.4,IPv4,1514
857,10.150362000,192.168.45.2,192.168.45.4,IPv4,1514
858,10.162722000,192.168.45.2,192.168.45.4,IPv4,1514
859,10.175097000,192.168.45.2,192.168.45.4,IPv4,1514
860,10.187442000,192.168.45.2,192.168.45.4,IPv4,1514
861,10.199799000,192.168.45.2,192.168.45.4,IPv4,1514
862,10.212159000,192.168.45.2,192.168.45.4,IPv4,1514
863,10.218438000,192.168.45.2,192.168.45.4,UDP,737
960,11.383297000,192.168.45.2,192.168.45.4,IPv4,1514
961,11.395655000,192.168.45.2,192.168.45.4,IPv4,1514
962,11.408016000,192.168.45.2,192.168.45.4,IPv4,1514
963,11.420376000,192.168.45.2,192.168.45.4,IPv4,1514
964,11.432733000,192.168.45.2,192.168.45.4,IPv4,1514
965,11.445093000,192.168.45.2,192.168.45.4,IPv4,1514
966,11.457450000,192.168.45.2,192.168.45.4,IPv4,1514
967,11.469811000,192.168.45.2,192.168.45.4,IPv4,1514
968,11.482172000,192.168.45.2,192.168.45.4,IPv4,1514
969,11.494526000,192.168.45.2,192.168.45.4,IPv4,1514
970,11.506886000,192.168.45.2,192.168.45.4,IPv4,1514
971,11.519246000,192.168.45.2,192.168.45.4,IPv4,1514
972,11.527011000,192.168.45.2,192.168.45.4,UDP,927
1065,12.657473000,192.168.45.2,192.168.45.4,IPv4,1514
1066,12.669831000,192.168.45.2,192.168.45.4,IPv4,1514
1067,12.682192000,192.168.45.2,192.168.45.4,IPv4,1514
1068,12.694553000,192.168.45.2,192.168.45.4,IPv4,1514
1069,12.706907000,192.168.45.2,192.168.45.4,IPv4,1514
1070,12.719266000,192.168.45.2,192.168.45.4,IPv4,1514
1071,12.731627000,192.168.45.2,192.168.45.4,IPv4,1514
1072,12.743986000,192.168.45.2,192.168.45.4,IPv4,1514
1073,12.756341000,192.168.45.2,192.168.45.4,IPv4,1514
1074,12.768702000,192.168.45.2,192.168.45.4,IPv4,1514
1075,12.777977000,192.168.45.2,192.168.45.4,UDP,1120
1605,19.008167000,192.168.45.2,192.168.45.4,IPv4,1514
1606,19.020527000,192.168.45.2,192.168.45.4,IPv4,1514
1607,19.032884000,192.168.45.2,192.168.45.4,IPv4,1514
1608,19.045244000,192.168.45.2,192.168.45.4,IPv4,1514
1609,19.057605000,192.168.45.2,192.168.45.4,IPv4,1514
1610,19.069963000,192.168.45.2,192.168.45.4,IPv4,1514
1611,19.082321000,192.168.45.2,192.168.45.4,IPv4,1514
1612,19.094679000,192.168.45.2,192.168.45.4,IPv4,1514
1613,19.107041000,192.168.45.2,192.168.45.4,IPv4,1514
1614,19.119395000,192.168.45.2,192.168.45.4,IPv4,1514
1615,19.131755000,192.168.45.2,192.168.45.4,IPv4,1514
1616,19.144115000,192.168.45.2,192.168.45.4,IPv4,1514
1617,19.156475000,192.168.45.2,192.168.45.4,IPv4,1514
1618,19.158787000,192.168.45.2,192.168.45.4,UDP,230
1821,21.557338000,192.168.45.2,192.168.45.4,IPv4,1514
