No.,Time,Source,Destination,Protocol,Length
1,0.000000000,192.168.45.2,192.168.45.4,IPv4,1514
2,0.012355000,192.168.45.2,192.168.45.4,IPv4,1514
3,0.024715000,192.168.45.2,192.168.45.4,IPv4,1514
4,0.037080000,192.168.45.2,192.168.45.4,IPv4,1514
5,0.049434000,192.168.45.2,192.168.45.4,IPv4,1514
6,0.061790000,192.168.45.2,192.168.45.4,IPv4,1514
7,0.074150000,192.168.45.2,192.168.45.4,IPv4,1514
8,0.086508000,192.168.45.2,192.168.45.4,IPv4,1514
9,0.098868000,192.168.45.2,192.168.45.4,IPv4,1514
10,0.101846000,192.168.45.2,192.168.45.4,UDP,315
11,0.113717000,192.168.45.2,192.168.45.4,IPv4,1514
12,0.126079000,192.168.45.2,192.168.45.4,IPv4,1514
13,0.138432000,192.168.45.2,192.168.45.4,IPv4,1514
14,0.150793000,192.168.45.2,192.168.45.4,IPv4,1514
15,0.163155000,192.168.45.2,192.168.45.4,IPv4,1514
16,0.175530000,192.168.45.2,192.168.45.4,IPv4,1514
17,0.187875000,192.168.45.2,192.168.45.4,IPv4,1514
18,0.200227000,192.168.45.2,192.168.45.4,IPv4,1514
19,0.212588000,192.168.45.2,192.168.45.4,IPv4,1514
20,0.224947000,192.168.45.2,192.168.45.4,IPv4,1514
21,0.230349000,192.168.45.2,192.168.45.4,UDP,625
22,0.242218000,192.168.45.2,192.168.45.4,IPv4,1514
23,0.254585000,192.168.45.2,192.168.45.4,IPv4,1514
24,0.266972000,192.168.45.2,192.168.45.4,IPv4,1514
25,0.279298000,192.168.45.2,192.168.45.4,IPv4,1514
26,0.291653000,192.168.45.2,192.168.45.4,IPv4,1514
27,0.304014000,192.168.45.2,192.168.45.4,IPv4,1514
28,0.316374000,192.168.45.2,192.168.45.4,IPv4,1514
29,0.328733000,192.168.45.2,192.168.45.4,IPv4,1514
30,0.341092000,192.168.45.2,192.168.45.4,IPv4,1514
31,0.353450000,192.168.45.2,192.168.45.4,IPv4,1514
32,0.365810000,192.168.45.2,192.168.45.4,IPv4,1514
33,0.378173000,192.168.45.2,192.168.45.4,IPv4,1514
34,0.390523000,192.168.45.2,192.168.45.4,IPv4,1514
35,0.402883000,192.168.45.2,192.168.45.4,IPv4,1514
36,0.415244000,192.168.45.2,192.168.45.4,IPv4,1514
37,0.427603000,192.168.45.2,192.168.45.4,IPv4,1514
38,0.439963000,192.168.45.2,192.168.45.4,IPv4,1514
39,0.452325000,192.168.45.2,192.168.45.4,IPv4,1514
40,0.464679000,192.168.45.2,192.168.45.4,IPv4,1514
41,0.477040000,192.168.45.2,192.168.45.4,IPv4,1514
42,0.489399000,192.168.45.2,192.168.45.4,IPv4,1514
43,0.501758000,192.168.45.2,192.168.45.4,IPv4,1514
