No.,Time,Source,Destination,Protocol,Length
1,0.000000000,192.168.45.2,192.168.45.4,IPv4,1514
2,0.012347000,192.168.45.2,192.168.45.4,IPv4,1514
3,0.024708000,192.168.45.2,192.168.45.4,IPv4,1514
4,0.037068000,192.168.45.2,192.168.45.4,IPv4,1514
5,0.049429000,192.168.45.2,192.168.45.4,IPv4,1514
6,0.061780000,192.168.45.2,192.168.45.4,IPv4,1514
7,0.074141000,192.168.45.2,192.168.45.4,IPv4,1514
8,0.086500000,192.168.45.2,192.168.45.4,IPv4,1514
9,0.098859000,192.168.45.2,192.168.45.4,IPv4,1514
10,0.101863000,192.168.45.2,192.168.45.4,UDP,318
11,0.113735000,192.168.45.2,192.168.45.4,IPv4,1514
12,0.126090000,192.168.45.2,192.168.45.4,IPv4,1514
13,0.138452000,192.168.45.2,192.168.45.4,IPv4,1514
14,0.150811000,192.168.45.2,192.168.45.4,IPv4,1514
15,0.163168000,192.168.45.2,192.168.45.4,IPv4,1514
16,0.175526000,192.168.45.2,192.168.45.4,IPv4,1514
17,0.187884000,192.168.45.2,192.168.45.4,IPv4,1514
18,0.200243000,192.168.45.2,192.168.45.4,IPv4,1514
19,0.212607000,192.168.45.2,192.168.45.4,IPv4,1514
20,0.217554000,192.168.45.2,192.168.45.4,UDP,564
21,0.229445000,192.168.45.2,192.168.45.4,IPv4,1514
22,0.241757000,192.168.45.2,192.168.45.4,IPv4,1514
23,0.254120000,192.168.45.2,192.168.45.4,IPv4,1514
24,0.266479000,192.168.45.2,192.168.45.4,IPv4,1514
25,0.278834000,192.168.45.2,192.168.45.4,IPv4,1514
26,0.291192000,192.168.45.2,192.168.45.4,IPv4,1514
27,0.303554000,192.168.45.2,192.168.45.4,IPv4,1514
28,0.315913000,192.168.45.2,192.168.45.4,IPv4,1514
29,0.328268000,192.168.45.2,192.168.45.4,IPv4,1514
30,0.340629000,192.168.45.2,192.168.45.4,IPv4,1514
31,0.342787000,192.168.45.2,192.168.45.4,UDP,210
32,0.354659000,192.168.45.2,192.168.45.4,IPv4,1514
33,0.367018000,192.168.45.2,192.168.45.4,IPv4,1514
34,0.379380000,192.168.45.2,192.168.45.4,IPv4,1514
35,0.391734000,192.168.45.2,192.168.45.4,IPv4,1514
36,0.404094000,192.168.45.2,192.168.45.4,IPv4,1514
37,0.416453000,192.168.45.2,192.168.45.4,IPv4,1514
38,0.428816000,192.168.45.2,192.168.45.4,IPv4,1514
39,0.441171000,192.168.45.2,192.168.45.4,IPv4,1514
40,0.453529000,192.168.45.2,192.168.45.4,IPv4,1514
41,0.465889000,192.168.45.2,192.168.45.4,IPv4,1514
42,0.478249000,192.168.45.2,192.168.45.4,IPv4,1514
43,0.485035000,192.168.45.2,192.168.45.4,UDP,802
44,0.496904000,192.168.45.2,192.168.45.4,IPv4,1514
45,0.509263000,192.168.45.2,192.168.45.4,IPv4,1514
46,0.521623000,192.168.45.2,192.168.45.4,IPv4,1514
47,0.533978000,192.168.45.2,192.168.45.4,IPv4,1514
48,0.546338000,192.168.45.2,192.168.45.4,IPv4,1514
49,0.558700000,192.168.45.2,192.168.45.4,IPv4,1514
50,0.571060000,192.168.45.2,192.168.45.4,IPv4,1514
51,0.583420000,192.168.45.2,192.168.45.4,IPv4,1514
52,0.595774000,192.168.45.2,192.168.45.4,IPv4,1514
53,0.608133000,192.168.45.2,192.168.45.4,IPv4,1514
54,0.620494000,192.168.45.2,192.168.45.4,IPv4,1514
55,0.632853000,192.168.45.2,192.168.45.4,IPv4,1514
56,0.640974000,192.168.45.2,192.168.45.4,UDP,972
57,0.652836000,192.168.45.2,192.168.45.4,IPv4,1514
58,0.665198000,192.168.45.2,192.168.45.4,IPv4,1514
59,0.677554000,192.168.45.2,192.168.45.4,IPv4,1514
60,0.689926000,192.168.45.2,192.168.45.4,IPv4,1514
61,0.702271000,192.168.45.2,192.168.45.4,IPv4,1514
62,0.714632000,192.168.45.2,192.168.45.4,IPv4,1514
63,0.726987000,192.168.45.2,192.168.45.4,IPv4,1514
64,0.739345000,192.168.45.2,192.168.45.4,IPv4,1514
65,0.751707000,192.168.45.2,192.168.45.4,IPv4,1514
66,0.764067000,192.168.45.2,192.168.45.4,IPv4,1514
67,0.776425000,192.168.45.2,192.168.45.4,IPv4,1514
68,0.788782000,192.168.45.2,192.168.45.4,IPv4,1514
69,0.801145000,192.168.45.2,192.168.45.4,IPv4,1514
70,0.803713000,192.168.45.2,192.168.45.4,UDP,263
71,0.815585000,192.168.45.2,192.168.45.4,IPv4,1514
72,0.827944000,192.168.45.2,192.168.45.4,IPv4,1514
73,0.840304000,192.168.45.2,192.168.45.4,IPv4,1514
74,0.852665000,192.168.45.2,192.168.45.4,IPv4,1514
75,0.865022000,192.168.45.2,192.168.45.4,IPv4,1514
76,0.877380000,192.168.45.2,192.168.45.4,IPv4,1514
77,0.889739000,192.168.45.2,192.168.45.4,IPv4,1514
78,0.902099000,192.168.45.2,192.168.45.4,IPv4,1514
79,0.914455000,192.168.45.2,192.168.45.4,IPv4,1514
80,0.926815000,192.168.45.2,192.168.45.4,IPv4,1514
81,0.933096000,192.168.45.2,192.168.45.4,UDP,737
82,0.944963000,192.168.45.2,192.168.45.4,IPv4,1514
83,0.957323000,192.168.45.2,192.168.45.4,IPv4,1514
84,0.969683000,192.168.45.2,192.168.45.4,IPv4,1514
85,0.982040000,192.168.45.2,192.168.45.4,IPv4,1514
86,0.994400000,192.168.45.2,192.168.45.4,IPv4,1514
87,1.006760000,192.168.45.2,192.168.45.4,IPv4,1514
88,1.019154000,192.168.45.2,192.168.45.4,IPv4,1514
89,1.031478000,192.168.45.2,192.168.45.4,IPv4,1514
90,1.043833000,192.168.45.2,192.168.45.4,IPv4,1514
91,1.056193000,192.168.45.2,192.168.45.4,IPv4,1514
92,1.065468000,192.168.45.2,192.168.45.4,UDP,1120
93,1.077333000,192.168.45.2,192.168.45.4,IPv4,1514
94,1.089692000,192.168.45.2,192.168.45.4,IPv4,1514
95,1.102051000,192.168.45.2,192.168.45.4,IPv4,1514
96,1.114412000,192.168.45.2,192.168.45.4,IPv4,1514
97,1.126767000,192.168.45.2,192.168.45.4,IPv4,1514
98,1.139128000,192.168.45.2,192.168.45.4,IPv4,1514
99,1.151489000,192.168.45.2,192.168.45.4,IPv4,1514
100,1.163849000,192.168.45.2,192.168.45.4,IPv4,1514
101,1.176204000,192.168.45.2,192.168.45.4,IPv4,1514
102,1.188562000,192.168.45.2,192.168.45.4,IPv4,1514
103,1.200917000,192.168.45.2,192.168.45.4,IPv4,1514
104,1.213282000,192.168.45.2,192.168.45.4,IPv4,1514
105,1.221050000,192.168.45.2,192.168.45.4,UDP,927
106,1.232913000,192.168.45.2,192.168.45.4,IPv4,1514
107,1.245273000,192.168.45.2,192.168.45.4,IPv4,1514
108,1.257636000,192.168.45.2,192.168.45.4,IPv4,1514
109,1.269988000,192.168.45.2,192.168.45.4,IPv4,1514
110,1.282347000,192.168.45.2,192.168.45.4,IPv4,1514
111,1.294708000,192.168.45.2,192.168.45.4,IPv4,1514
112,1.307068000,192.168.45.2,192.168.45.4,IPv4,1514
113,1.319423000,192.168.45.2,192.168.45.4,IPv4,1514
114,1.331783000,192.168.45.2,192.168.45.4,IPv4,1514
115,1.344142000,192.168.45.2,192.168.45.4,IPv4,1514
116,1.356503000,192.168.45.2,192.168.45.4,IPv4,1514
117,1.368858000,192.168.45.2,192.168.45.4,IPv4,1514
118,1.381217000,192.168.45.2,192.168.45.4,IPv4,1514
119,1.383461000,192.168.45.2,192.168.45.4,UDP,221
120,1.395336000,192.168.45.2,192.168.45.4,IPv4,1514
121,1.407695000,192.168.45.2,192.168.45.4,IPv4,1514
122,1.420054000,192.168.45.2,192.168.45.4,IPv4,1514
123,1.432414000,192.168.45.2,192.168.45.4,IPv4,1514
124,1.444773000,192.168.45.2,192.168.45.4,IPv4,1514
125,1.457129000,192.168.45.2,192.168.45.4,IPv4,1514
126,1.469489000,192.168.45.2,192.168.45.4,IPv4,1514
127,1.481848000,192.168.45.2,192.168.45.4,IPv4,1514
128,1.494208000,192.168.45.2,192.168.45.4,IPv4,1514
129,1.506565000,192.168.45.2,192.168.45.4,IPv4,1514
130,1.518925000,192.168.45.2,192.168.45.4,IPv4,1514
131,1.531283000,192.168.45.2,192.168.45.4,IPv4,1514
132,1.536994000,192.168.45.2,192.168.45.4,UDP,664
133,1.548865000,192.168.45.2,192.168.45.4,IPv4,1514
134,1.561222000,192.168.45.2,192.168.45.4,IPv4,1514
135,1.573576000,192.168.45.2,192.168.45.4,IPv4,1514
136,1.585931000,192.168.45.2,192.168.45.4,IPv4,1514
137,1.598297000,192.168.45.2,192.168.45.4,IPv4,1514
138,1.610656000,192.168.45.2,192.168.45.4,IPv4,1514
139,1.623017000,192.168.45.2,192.168.45.4,IPv4,1514
140,1.635372000,192.168.45.2,192.168.45.4,IPv4,1514
141,1.647734000,192.168.45.2,192.168.45.4,IPv4,1514
142,1.660094000,192.168.45.2,192.168.45.4,IPv4,1514
143,1.672458000,192.168.45.2,192.168.45.4,IPv4,1514
144,1.684790000,192.168.45.2,192.168.45.4,IPv4,1514
145,1.697179000,192.168.45.2,192.168.45.4,IPv4,1514
146,1.709519000,192.168.45.2,192.168.45.4,IPv4,1514
147,1.721899000,192.168.45.2,192.168.45.4,IPv4,1514
148,1.734247000,192.168.45.2,192.168.45.4,IPv4,1514
149,1.746603000,192.168.45.2,192.168.45.4,IPv4,1514
150,1.758962000,192.168.45.2,192.168.45.4,IPv4,1514
151,1.771324000,192.168.45.2,192.168.45.4,IPv4,1514
152,1.783685000,192.168.45.2,192.168.45.4,IPv4,1514
153,1.796038000,192.168.45.2,192.168.45.4,IPv4,1514
154,1.808399000,192.168.45.2,192.168.45.4,IPv4,1514
155,1.820759000,192.168.45.2,192.168.45.4,IPv4,1514
156,1.833116000,192.168.45.2,192.168.45.4,IPv4,1514
157,1.845472000,192.168.45.2,192.168.45.4,IPv4,1514
158,1.857831000,192.168.45.2,192.168.45.4,IPv4,1514
159,1.860149000,192.168.45.2,192.168.45.4,UDP,230
160,1.872021000,192.168.45.2,192.168.45.4,IPv4,1514
161,1.884380000,192.168.45.2,192.168.45.4,IPv4,1514
162,1.896739000,192.168.45.2,192.168.45.4,IPv4,1514
163,1.909097000,192.168.45.2,192.168.45.4,IPv4,1514
164,1.921456000,192.168.45.2,192.168.45.4,IPv4,1514
165,1.933818000,192.168.45.2,192.168.45.4,IPv4,1514
166,1.946171000,192.168.45.2,192.168.45.4,IPv4,1514
167,1.958531000,192.168.45.2,192.168.45.4,IPv4,1514
168,1.970892000,192.168.45.2,192.168.45.4,IPv4,1514
169,1.983266000,192.168.45.2,192.168.45.4,IPv4,1514
170,1.995606000,192.168.45.2,192.168.45.4,IPv4,1514
171,1.998808000,192.168.45.2,192.168.45.4,UDP,343
172,2.010671000,192.168.45.2,192.168.45.4,IPv4,1514
173,2.023035000,192.168.45.2,192.168.45.4,IPv4,1514
174,2.035395000,192.168.45.2,192.168.45.4,IPv4,1514
175,2.047757000,192.168.45.2,192.168.45.4,IPv4,1514
176,2.060115000,192.168.45.2,192.168.45.4,IPv4,1514
177,2.072474000,192.168.45.2,192.168.45.4,IPv4,1514
178,2.084832000,192.168.45.2,192.168.45.4,IPv4,1514
179,2.097190000,192.168.45.2,192.168.45.4,IPv4,1514
180,2.109549000,192.168.45.2,192.168.45.4,IPv4,1514
181,2.121909000,192.168.45.2,192.168.45.4,IPv4,1514
182,2.134265000,192.168.45.2,192.168.45.4,IPv4,1514
183,2.144066000,192.168.45.2,192.168.45.4,UDP,1187
184,2.155930000,192.168.45.2,192.168.45.4,IPv4,1514
185,2.168279000,192.168.45.2,192.168.45.4,IPv4,1514
186,2.180669000,192.168.45.2,192.168.45.4,IPv4,1514
187,2.193000000,192.168.45.2,192.168.45.4,IPv4,1514
188,2.205365000,192.168.45.2,192.168.45.4,IPv4,1514
189,2.217724000,192.168.45.2,192.168.45.4,IPv4,1514
190,2.230085000,192.168.45.2,192.168.45.4,IPv4,1514
191,2.242445000,192.168.45.2,192.168.45.4,IPv4,1514
192,2.254799000,192.168.45.2,192.168.45.4,IPv4,1514
193,2.267159000,192.168.45.2,192.168.45.4,IPv4,1514
194,2.279520000,192.168.45.2,192.168.45.4,IPv4,1514
195,2.291882000,192.168.45.2,192.168.45.4,IPv4,1514
196,2.303743000,192.168.45.2,192.168.45.4,UDP,1451
197,2.315602000,192.168.45.2,192.168.45.4,IPv4,1514
198,2.327964000,192.168.45.2,192.168.45.4,IPv4,1514
199,2.340322000,192.168.45.2,192.168.45.4,IPv4,1514
200,2.352678000,192.168.45.2,192.168.45.4,IPv4,1514
201,2.365040000,192.168.45.2,192.168.45.4,IPv4,1514
202,2.377399000,192.168.45.2,192.168.45.4,IPv4,1514
203,2.389760000,192.168.45.2,192.168.45.4,IPv4,1514
204,2.402117000,192.168.45.2,192.168.45.4,IPv4,1514
205,2.414472000,192.168.45.2,192.168.45.4,IPv4,1514
206,2.426831000,192.168.45.2,192.168.45.4,IPv4,1514
207,2.439192000,192.168.45.2,192.168.45.4,IPv4,1514
208,2.451552000,192.168.45.2,192.168.45.4,IPv4,1514
209,2.463908000,192.168.45.2,192.168.45.4,IPv4,1514
210,2.476269000,192.168.45.2,192.168.45.4,IPv4,1514
211,2.488629000,192.168.45.2,192.168.45.4,IPv4,1514
212,2.495315000,192.168.45.2,192.168.45.4,UDP,789
213,2.507181000,192.168.45.2,192.168.45.4,IPv4,1514
214,2.519543000,192.168.45.2,192.168.45.4,IPv4,1514
215,2.531896000,192.168.45.2,192.168.45.4,IPv4,1514
216,2.544256000,192.168.45.2,192.168.45.4,IPv4,1514
217,2.556617000,192.168.45.2,192.168.45.4,IPv4,1514
218,2.568977000,192.168.45.2,192.168.45.4,IPv4,1514
219,2.581333000,192.168.45.2,192.168.45.4,IPv4,1514
220,2.593694000,192.168.45.2,192.168.45.4,IPv4,1514
