No.,Time,Source,Destination,Protocol,Length
172,0.250490000,192.168.45.2,192.168.45.4,IPv4,1514
173,0.252032000,192.168.45.2,192.168.45.4,IPv4,1514
174,0.254318000,192.168.45.2,192.168.45.4,IPv4,1514
175,0.255112000,192.168.45.2,192.168.45.4,IPv4,1514
176,0.257404000,192.168.45.2,192.168.45.4,IPv4,1514
177,0.258948000,192.168.45.2,192.168.45.4,IPv4,1514
178,0.261233000,192.168.45.2,192.168.45.4,IPv4,1514
179,0.262775000,192.168.45.2,192.168.45.4,IPv4,1514
180,0.265817000,192.168.45.2,192.168.45.4,IPv4,1514
181,0.266871000,192.168.45.2,192.168.45.4,UDP,564
296,0.437664000,192.168.45.2,192.168.45.4,IPv4,1514
297,0.439957000,192.168.45.2,192.168.45.4,IPv4,1514
298,0.440750000,192.168.45.2,192.168.45.4,IPv4,1514
299,0.443790000,192.168.45.2,192.168.45.4,IPv4,1514
300,0.445324000,192.168.45.2,192.168.45.4,IPv4,1514
301,0.446872000,192.168.45.2,192.168.45.4,IPv4,1514
302,0.447658000,192.168.45.2,192.168.45.4,IPv4,1514
303,0.450704000,192.168.45.2,192.168.45.4,IPv4,1514
304,0.451492000,192.168.45.2,192.168.45.4,IPv4,1514
305,0.452286000,192.168.45.2,192.168.45.4,IPv4,1514
306,0.453076000,192.168.45.2,192.168.45.4,IPv4,1514
307,0.453505000,192.168.45.2,192.168.45.4,UDP,802
394,0.577180000,192.168.45.2,192.168.45.4,IPv4,1514
395,0.577975000,192.168.45.2,192.168.45.4,IPv4,1514
396,0.579514000,192.168.45.2,192.168.45.4,IPv4,1514
397,0.580307000,192.168.45.2,192.168.45.4,IPv4,1514
398,0.582599000,192.168.45.2,192.168.45.4,IPv4,1514
399,0.584139000,192.168.45.2,192.168.45.4,IPv4,1514
400,0.584928000,192.168.45.2,192.168.45.4,IPv4,1514
401,0.585717000,192.168.45.2,192.168.45.4,IPv4,1514
402,0.587260000,192.168.45.2,192.168.45.4,IPv4,1514
403,0.588052000,192.168.45.2,192.168.45.4,IPv4,1514
404,0.589676000,192.168.45.2,192.168.45.4,UDP,210
661,0.969145000,192.168.45.2,192.168.45.4,IPv4,1514
662,0.971433000,192.168.45.2,192.168.45.4,IPv4,1514
663,0.972980000,192.168.45.2,192.168.45.4,IPv4,1514
664,0.973763000,192.168.45.2,192.168.45.4,IPv4,1514
665,0.975310000,192.168.45.2,192.168.45.4,IPv4,1514
666,0.976836000,192.168.45.2,192.168.45.4,IPv4,1514
667,0.977656000,192.168.45.2,192.168.45.4,IPv4,1514
668,0.979174000,192.168.45.2,192.168.45.4,IPv4,1514
669,0.980725000,192.168.45.2,192.168.45.4,IPv4,1514
670,0.981504000,192.168.45.2,192.168.45.4,IPv4,1514
671,0.982318000,192.168.45.2,192.168.45.4,IPv4,1514
672,0.983080000,192.168.45.2,192.168.45.4,IPv4,1514
673,0.983901000,192.168.45.2,192.168.45.4,IPv4,1514
674,0.985521000,192.168.45.2,192.168.45.4,UDP,263
853,1.259931000,192.168.45.2,192.168.45.4,IPv4,1514
854,1.260720000,192.168.45.2,192.168.45.4,IPv4,1514
855,1.262262000,192.168.45.2,192.168.45.4,IPv4,1514
856,1.263056000,192.168.45.2,192.168.45.4,IPv4,1514
857,1.264595000,192.168.45.2,192.168.45.4,IPv4,1514
858,1.266137000,192.168.45.2,192.168.45.4,IPv4,1514
859,1.268427000,192.168.45.2,192.168.45.4,IPv4,1514
860,1.269971000,192.168.45.2,192.168.45.4,IPv4,1514
861,1.271508000,192.168.45.2,192.168.45.4,IPv4,1514
