No.,Time,Source,Destination,Protocol,Length
1,0.000000000,192.168.45.2,192.168.45.4,IPv4,1514
2,0.001576000,192.168.45.2,192.168.45.4,IPv4,1514
3,0.003081000,192.168.45.2,192.168.45.4,IPv4,1514
4,0.004626000,192.168.45.2,192.168.45.4,IPv4,1514
5,0.008414000,192.168.45.2,192.168.45.4,IPv4,1514
6,0.009202000,192.168.45.2,192.168.45.4,IPv4,1514
7,0.011493000,192.168.45.2,192.168.45.4,IPv4,1514
8,0.013785000,192.168.45.2,192.168.45.4,IPv4,1514
9,0.015327000,192.168.45.2,192.168.45.4,IPv4,1514
10,0.016257000,192.168.45.2,192.168.45.4,UDP,318
44,0.073049000,192.168.45.2,192.168.45.4,IPv4,1514
45,0.074591000,192.168.45.2,192.168.45.4,IPv4,1514
46,0.075381000,192.168.45.2,192.168.45.4,IPv4,1514
47,0.076173000,192.168.45.2,192.168.45.4,IPv4,1514
48,0.076962000,192.168.45.2,192.168.45.4,IPv4,1514
49,0.077755000,192.168.45.2,192.168.45.4,IPv4,1514
50,0.079293000,192.168.45.2,192.168.45.4,IPv4,1514
51,0.080836000,192.168.45.2,192.168.45.4,IPv4,1514
52,0.081626000,192.168.45.2,192.168.45.4,IPv4,1514
53,0.083918000,192.168.45.2,192.168.45.4,IPv4,1514
54,0.085458000,192.168.45.2,192.168.45.4,IPv4,1514
55,0.086261000,192.168.45.2,192.168.45.4,IPv4,1514
56,0.086746000,192.168.45.2,192.168.45.4,UDP,972
106,0.158405000,192.168.45.2,192.168.45.4,IPv4,1514
107,0.160695000,192.168.45.2,192.168.45.4,IPv4,1514
108,0.162231000,192.168.45.2,192.168.45.4,IPv4,1514
109,0.163026000,192.168.45.2,192.168.45.4,IPv4,1514
110,0.165316000,192.168.45.2,192.168.45.4,IPv4,1514
111,0.167603000,192.168.45.2,192.168.45.4,IPv4,1514
112,0.168396000,192.168.45.2,192.168.45.4,IPv4,1514
113,0.170688000,192.168.45.2,192.168.45.4,IPv4,1514
114,0.171477000,192.168.45.2,192.168.45.4,IPv4,1514
115,0.174520000,192.168.45.2,192.168.45.4,IPv4,1514
116,0.176797000,192.168.45.2,192.168.45.4,IPv4,1514
117,0.179091000,192.168.45.2,192.168.45.4,IPv4,1514
118,0.180640000,192.168.45.2,192.168.45.4,IPv4,1514
119,0.181522000,192.168.45.2,192.168.45.4,UDP,221
133,0.204871000,192.168.45.2,192.168.45.4,IPv4,1514
134,0.207165000,192.168.45.2,192.168.45.4,IPv4,1514
135,0.208701000,192.168.45.2,192.168.45.4,IPv4,1514
136,0.210244000,192.168.45.2,192.168.45.4,IPv4,1514
137,0.211038000,192.168.45.2,192.168.45.4,IPv4,1514
138,0.211826000,192.168.45.2,192.168.45.4,IPv4,1514
139,0.212614000,192.168.45.2,192.168.45.4,IPv4,1514
140,0.213408000,192.168.45.2,192.168.45.4,IPv4,1514
141,0.214950000,192.168.45.2,192.168.45.4,IPv4,1514
142,0.216487000,192.168.45.2,192.168.45.4,IPv4,1514
143,0.219528000,192.168.45.2,192.168.45.4,IPv4,1514
144,0.220322000,192.168.45.2,192.168.45.4,IPv4,1514
145,0.222614000,192.168.45.2,192.168.45.4,IPv4,1514
172,0.259926000,192.168.45.2,192.168.45.4,IPv4,1514
173,0.262219000,192.168.45.2,192.168.45.4,IPv4,1514
174,0.263007000,192.168.45.2,192.168.45.4,IPv4,1514
175,0.264551000,192.168.45.2,192.168.45.4,IPv4,1514
176,0.266092000,192.168.45.2,192.168.45.4,IPv4,1514
177,0.268383000,192.168.45.2,192.168.45.4,IPv4,1514
178,0.269172000,192.168.45.2,192.168.45.4,IPv4,1514
179,0.271461000,192.168.45.2,192.168.45.4,IPv4,1514
180,0.274506000,192.168.45.2,192.168.45.4,IPv4,1514
