No.,Time,Source,Destination,Protocol,Length
1,0.000000000,192.168.45.2,192.168.45.4,IPv4,1514
2,0.035790000,192.168.45.2,192.168.45.4,IPv4,1514
3,0.059868000,192.168.45.2,192.168.45.4,IPv4,1514
4,0.072229000,192.168.45.2,192.168.45.4,IPv4,1514
5,0.096303000,192.168.45.2,192.168.45.4,IPv4,1514
6,0.120380000,192.168.45.2,192.168.45.4,IPv4,1514
7,0.132738000,192.168.45.2,192.168.45.4,IPv4,1514
8,0.156817000,192.168.45.2,192.168.45.4,IPv4,1514
9,0.192611000,192.168.45.2,192.168.45.4,IPv4,1514
10,0.207306000,192.168.45.2,192.168.45.4,UDP,315
11,0.219177000,192.168.45.2,192.168.45.4,IPv4,1514
12,0.254975000,192.168.45.2,192.168.45.4,IPv4,1514
13,0.267334000,192.168.45.2,192.168.45.4,IPv4,1514
14,0.303132000,192.168.45.2,192.168.45.4,IPv4,1514
15,0.350642000,192.168.45.2,192.168.45.4,IPv4,1514
16,0.386443000,192.168.45.2,192.168.45.4,IPv4,1514
17,0.410517000,192.168.45.2,192.168.45.4,IPv4,1514
18,0.469762000,192.168.45.2,192.168.45.4,IPv4,1514
19,0.482106000,192.168.45.2,192.168.45.4,IPv4,1514
20,0.494466000,192.168.45.2,192.168.45.4,IPv4,1514
21,0.558465000,192.168.45.2,192.168.45.4,UDP,625
22,0.570331000,192.168.45.2,192.168.45.4,IPv4,1514
23,0.594405000,192.168.45.2,192.168.45.4,IPv4,1514
24,0.618481000,192.168.45.2,192.168.45.4,IPv4,1514
25,0.642559000,192.168.45.2,192.168.45.4,IPv4,1514
26,0.701792000,192.168.45.2,192.168.45.4,IPv4,1514
27,0.737588000,192.168.45.2,192.168.45.4,IPv4,1514
28,0.761662000,192.168.45.2,192.168.45.4,IPv4,1514
29,0.774022000,192.168.45.2,192.168.45.4,IPv4,1514
30,0.798103000,192.168.45.2,192.168.45.4,IPv4,1514
31,0.822177000,192.168.45.2,192.168.45.4,IPv4,1514
32,0.846254000,192.168.45.2,192.168.45.4,IPv4,1514
33,0.893769000,192.168.45.2,192.168.45.4,IPv4,1514
34,0.906127000,192.168.45.2,192.168.45.4,IPv4,1514
35,0.930209000,192.168.45.2,192.168.45.4,IPv4,1514
36,0.965999000,192.168.45.2,192.168.45.4,IPv4,1514
37,1.001795000,192.168.45.2,192.168.45.4,IPv4,1514
38,1.049314000,192.168.45.2,192.168.45.4,IPv4,1514
39,1.061670000,192.168.45.2,192.168.45.4,IPv4,1514
40,1.085746000,192.168.45.2,192.168.45.4,IPv4,1514
41,1.121542000,192.168.45.2,192.168.45.4,IPv4,1514
42,1.133903000,192.168.45.2,192.168.45.4,IPv4,1514
43,1.157976000,192.168.45.2,192.168.45.4,IPv4,1514
44,1.170335000,192.168.45.2,192.168.45.4,IPv4,1514
45,1.206131000,192.168.45.2,192.168.45.4,IPv4,1514
46,1.230206000,192.168.45.2,192.168.45.4,IPv4,1514
47,1.266002000,192.168.45.2,192.168.45.4,IPv4,1514
48,1.271611000,192.168.45.2,192.168.45.4,UDP,651
49,1.283480000,192.168.45.2,192.168.45.4,IPv4,1514
50,1.295839000,192.168.45.2,192.168.45.4,IPv4,1514
51,1.343352000,192.168.45.2,192.168.45.4,IPv4,1514
52,1.355710000,192.168.45.2,192.168.45.4,IPv4,1514
53,1.403227000,192.168.45.2,192.168.45.4,IPv4,1514
54,1.415571000,192.168.45.2,192.168.45.4,IPv4,1514
55,1.439656000,192.168.45.2,192.168.45.4,IPv4,1514
56,1.463737000,192.168.45.2,192.168.45.4,IPv4,1514
57,1.476097000,192.168.45.2,192.168.45.4,IPv4,1514
58,1.488458000,192.168.45.2,192.168.45.4,IPv4,1514
59,1.503599000,192.168.45.2,192.168.45.4,UDP,372
60,1.515469000,192.168.45.2,192.168.45.4,IPv4,1514
61,1.551263000,192.168.45.2,192.168.45.4,IPv4,1514
62,1.563624000,192.168.45.2,192.168.45.4,IPv4,1514
63,1.575984000,192.168.45.2,192.168.45.4,IPv4,1514
64,1.623499000,192.168.45.2,192.168.45.4,IPv4,1514
65,1.647575000,192.168.45.2,192.168.45.4,IPv4,1514
66,1.671649000,192.168.45.2,192.168.45.4,IPv4,1514
67,1.684009000,192.168.45.2,192.168.45.4,IPv4,1514
68,1.696368000,192.168.45.2,192.168.45.4,IPv4,1514
69,1.720447000,192.168.45.2,192.168.45.4,IPv4,1514
70,1.756239000,192.168.45.2,192.168.45.4,IPv4,1514
71,1.792036000,192.168.45.2,192.168.45.4,IPv4,1514
72,1.816116000,192.168.45.2,192.168.45.4,IPv4,1514
73,1.840195000,192.168.45.2,192.168.45.4,IPv4,1514
74,1.864270000,192.168.45.2,192.168.45.4,IPv4,1514
75,1.888345000,192.168.45.2,192.168.45.4,IPv4,1514
76,1.900705000,192.168.45.2,192.168.45.4,IPv4,1514
77,1.924776000,192.168.45.2,192.168.45.4,IPv4,1514
78,1.960585000,192.168.45.2,192.168.45.4,IPv4,1514
79,1.974922000,192.168.45.2,192.168.45.4,UDP,270
80,1.986794000,192.168.45.2,192.168.45.4,IPv4,1514
81,1.999160000,192.168.45.2,192.168.45.4,IPv4,1514
82,2.034954000,192.168.45.2,192.168.45.4,IPv4,1514
83,2.059029000,192.168.45.2,192.168.45.4,IPv4,1514
84,2.083108000,192.168.45.2,192.168.45.4,IPv4,1514
85,2.095459000,192.168.45.2,192.168.45.4,IPv4,1514
86,2.119539000,192.168.45.2,192.168.45.4,IPv4,1514
87,2.131900000,192.168.45.2,192.168.45.4,IPv4,1514
88,2.144260000,192.168.45.2,192.168.45.4,IPv4,1514
89,2.168336000,192.168.45.2,192.168.45.4,IPv4,1514
90,2.217320000,192.168.45.2,192.168.45.4,UDP,204
91,2.229193000,192.168.45.2,192.168.45.4,IPv4,1514
92,2.241548000,192.168.45.2,192.168.45.4,IPv4,1514
93,2.253908000,192.168.45.2,192.168.45.4,IPv4,1514
94,2.277989000,192.168.45.2,192.168.45.4,IPv4,1514
95,2.290342000,192.168.45.2,192.168.45.4,IPv4,1514
96,2.302702000,192.168.45.2,192.168.45.4,IPv4,1514
97,2.315063000,192.168.45.2,192.168.45.4,IPv4,1514
98,2.339137000,192.168.45.2,192.168.45.4,IPv4,1514
99,2.351499000,192.168.45.2,192.168.45.4,IPv4,1514
100,2.354500000,192.168.45.2,192.168.45.4,UDP,318
101,2.366374000,192.168.45.2,192.168.45.4,IPv4,1514
102,2.378734000,192.168.45.2,192.168.45.4,IPv4,1514
103,2.402807000,192.168.45.2,192.168.45.4,IPv4,1514
104,2.462039000,192.168.45.2,192.168.45.4,IPv4,1514
105,2.486119000,192.168.45.2,192.168.45.4,IPv4,1514
106,2.510193000,192.168.45.2,192.168.45.4,IPv4,1514
107,2.557710000,192.168.45.2,192.168.45.4,IPv4,1514
108,2.593505000,192.168.45.2,192.168.45.4,IPv4,1514
109,2.605865000,192.168.45.2,192.168.45.4,IPv4,1514
110,2.618219000,192.168.45.2,192.168.45.4,IPv4,1514
111,2.642299000,192.168.45.2,192.168.45.4,IPv4,1514
112,2.657202000,192.168.45.2,192.168.45.4,UDP,341
113,2.669078000,192.168.45.2,192.168.45.4,IPv4,1514
114,2.681429000,192.168.45.2,192.168.45.4,IPv4,1514
115,2.705503000,192.168.45.2,192.168.45.4,IPv4,1514
116,2.741302000,192.168.45.2,192.168.45.4,IPv4,1514
117,2.753663000,192.168.45.2,192.168.45.4,IPv4,1514
118,2.801176000,192.168.45.2,192.168.45.4,IPv4,1514
119,2.860405000,192.168.45.2,192.168.45.4,IPv4,1514
120,2.884485000,192.168.45.2,192.168.45.4,IPv4,1514
121,2.908561000,192.168.45.2,192.168.45.4,IPv4,1514
122,2.931623000,192.168.45.2,192.168.45.4,UDP,1384
123,2.955198000,192.168.45.2,192.168.45.4,IPv4,1514
124,2.979280000,192.168.45.2,192.168.45.4,IPv4,1514
125,2.991641000,192.168.45.2,192.168.45.4,IPv4,1514
126,3.015713000,192.168.45.2,192.168.45.4,IPv4,1514
127,3.028076000,192.168.45.2,192.168.45.4,IPv4,1514
128,3.063868000,192.168.45.2,192.168.45.4,IPv4,1514
129,3.099664000,192.168.45.2,192.168.45.4,IPv4,1514
130,3.123739000,192.168.45.2,192.168.45.4,IPv4,1514
131,3.147820000,192.168.45.2,192.168.45.4,IPv4,1514
132,3.160172000,192.168.45.2,192.168.45.4,IPv4,1514
133,3.184241000,192.168.45.2,192.168.45.4,IPv4,1514
134,3.196619000,192.168.45.2,192.168.45.4,IPv4,1514
135,3.208970000,192.168.45.2,192.168.45.4,IPv4,1514
136,3.256485000,192.168.45.2,192.168.45.4,IPv4,1514
137,3.268844000,192.168.45.2,192.168.45.4,IPv4,1514
138,3.292920000,192.168.45.2,192.168.45.4,IPv4,1514
139,3.316996000,192.168.45.2,192.168.45.4,IPv4,1514
140,3.329355000,192.168.45.2,192.168.45.4,IPv4,1514
141,3.341716000,192.168.45.2,192.168.45.4,IPv4,1514
142,3.389231000,192.168.45.2,192.168.45.4,IPv4,1514
143,3.401586000,192.168.45.2,192.168.45.4,IPv4,1514
144,3.437383000,192.168.45.2,192.168.45.4,IPv4,1514
145,3.473190000,192.168.45.2,192.168.45.4,IPv4,1514
146,3.485536000,192.168.45.2,192.168.45.4,IPv4,1514
147,3.533052000,192.168.45.2,192.168.45.4,IPv4,1514
148,3.568850000,192.168.45.2,192.168.45.4,IPv4,1514
149,3.595057000,192.168.45.2,192.168.45.4,UDP,289
150,3.618649000,192.168.45.2,192.168.45.4,IPv4,1514
151,3.642724000,192.168.45.2,192.168.45.4,IPv4,1514
152,3.666806000,192.168.45.2,192.168.45.4,IPv4,1514
153,3.679167000,192.168.45.2,192.168.45.4,IPv4,1514
154,3.714969000,192.168.45.2,192.168.45.4,IPv4,1514
155,3.750757000,192.168.45.2,192.168.45.4,IPv4,1514
156,3.774831000,192.168.45.2,192.168.45.4,IPv4,1514
157,3.798910000,192.168.45.2,192.168.45.4,IPv4,1514
158,3.822985000,192.168.45.2,192.168.45.4,IPv4,1514
159,3.847062000,192.168.45.2,192.168.45.4,IPv4,1514
160,3.859430000,192.168.45.2,192.168.45.4,IPv4,1514
161,3.861859000,192.168.45.2,192.168.45.4,UDP,246
162,3.885451000,192.168.45.2,192.168.45.4,IPv4,1514
163,3.897812000,192.168.45.2,192.168.45.4,IPv4,1514
164,3.910170000,192.168.45.2,192.168.45.4,IPv4,1514
165,3.922526000,192.168.45.2,192.168.45.4,IPv4,1514
166,3.946605000,192.168.45.2,192.168.45.4,IPv4,1514
167,3.982401000,192.168.45.2,192.168.45.4,IPv4,1514
168,4.006476000,192.168.45.2,192.168.45.4,IPv4,1514
169,4.030560000,192.168.45.2,192.168.45.4,IPv4,1514
170,4.042911000,192.168.45.2,192.168.45.4,IPv4,1514
171,4.077847000,192.168.45.2,192.168.45.4,UDP,1404
182,4.334277000,192.168.45.2,192.168.45.4,IPv4,1514
183,4.370070000,192.168.45.2,192.168.45.4,IPv4,1514
184,4.394151000,192.168.45.2,192.168.45.4,IPv4,1514
185,4.418220000,192.168.45.2,192.168.45.4,IPv4,1514
186,4.430585000,192.168.45.2,192.168.45.4,IPv4,1514
187,4.442945000,192.168.45.2,192.168.45.4,IPv4,1514
188,4.455304000,192.168.45.2,192.168.45.4,IPv4,1514
189,4.479395000,192.168.45.2,192.168.45.4,IPv4,1514
190,4.503457000,192.168.45.2,192.168.45.4,IPv4,1514
191,4.539264000,192.168.45.2,192.168.45.4,IPv4,1514
192,4.548328000,192.168.45.2,192.168.45.4,UDP,1094
193,4.583627000,192.168.45.2,192.168.45.4,IPv4,1514
194,4.607702000,192.168.45.2,192.168.45.4,IPv4,1514
195,4.620061000,192.168.45.2,192.168.45.4,IPv4,1514
196,4.632421000,192.168.45.2,192.168.45.4,IPv4,1514
197,4.656487000,192.168.45.2,192.168.45.4,IPv4,1514
198,4.680578000,192.168.45.2,192.168.45.4,IPv4,1514
199,4.704651000,192.168.45.2,192.168.45.4,IPv4,1514
200,4.717008000,192.168.45.2,192.168.45.4,IPv4,1514
201,4.741086000,192.168.45.2,192.168.45.4,IPv4,1514
202,4.753447000,192.168.45.2,192.168.45.4,IPv4,1514
203,4.777522000,192.168.45.2,192.168.45.4,IPv4,1514
204,4.784289000,192.168.45.2,192.168.45.4,UDP,799
205,4.796158000,192.168.45.2,192.168.45.4,IPv4,1514
206,4.831953000,192.168.45.2,192.168.45.4,IPv4,1514
207,4.844314000,192.168.45.2,192.168.45.4,IPv4,1514
208,4.868387000,192.168.45.2,192.168.45.4,IPv4,1514
209,4.892464000,192.168.45.2,192.168.45.4,IPv4,1514
210,4.916541000,192.168.45.2,192.168.45.4,IPv4,1514
211,4.940617000,192.168.45.2,192.168.45.4,IPv4,1514
212,4.988132000,192.168.45.2,192.168.45.4,IPv4,1514
213,5.000495000,192.168.45.2,192.168.45.4,IPv4,1514
214,5.024572000,192.168.45.2,192.168.45.4,IPv4,1514
215,5.060364000,192.168.45.2,192.168.45.4,IPv4,1514
216,5.096159000,192.168.45.2,192.168.45.4,IPv4,1514
217,5.120234000,192.168.45.2,192.168.45.4,IPv4,1514
