No.,Time,Source,Destination,Protocol,Length
11,0.207493000,192.168.45.2,192.168.45.4,IPv4,1514
12,0.243289000,192.168.45.2,192.168.45.4,IPv4,1514
13,0.325952000,192.168.45.2,192.168.45.4,IPv4,1514
14,0.350029000,192.168.45.2,192.168.45.4,IPv4,1514
15,0.374109000,192.168.45.2,192.168.45.4,IPv4,1514
16,0.409904000,192.168.45.2,192.168.45.4,IPv4,1514
17,0.445699000,192.168.45.2,192.168.45.4,IPv4,1514
18,0.481493000,192.168.45.2,192.168.45.4,IPv4,1514
19,0.517289000,192.168.45.2,192.168.45.4,IPv4,1514
20,0.533934000,192.168.45.2,192.168.45.4,UDP,564
21,0.545806000,192.168.45.2,192.168.45.4,IPv4,1514
22,0.593319000,192.168.45.2,192.168.45.4,IPv4,1514
23,0.605677000,192.168.45.2,192.168.45.4,IPv4,1514
24,0.653190000,192.168.45.2,192.168.45.4,IPv4,1514
25,0.688985000,192.168.45.2,192.168.45.4,IPv4,1514
26,0.701346000,192.168.45.2,192.168.45.4,IPv4,1514
27,0.725422000,192.168.45.2,192.168.45.4,IPv4,1514
28,0.761216000,192.168.45.2,192.168.45.4,IPv4,1514
29,0.773577000,192.168.45.2,192.168.45.4,IPv4,1514
30,0.797652000,192.168.45.2,192.168.45.4,IPv4,1514
31,0.811530000,192.168.45.2,192.168.45.4,UDP,210
32,0.835118000,192.168.45.2,192.168.45.4,IPv4,1514
33,0.859198000,192.168.45.2,192.168.45.4,IPv4,1514
34,0.906708000,192.168.45.2,192.168.45.4,IPv4,1514
35,0.942505000,192.168.45.2,192.168.45.4,IPv4,1514
36,0.966581000,192.168.45.2,192.168.45.4,IPv4,1514
37,0.978944000,192.168.45.2,192.168.45.4,IPv4,1514
38,0.991299000,192.168.45.2,192.168.45.4,IPv4,1514
39,1.027096000,192.168.45.2,192.168.45.4,IPv4,1514
40,1.039454000,192.168.45.2,192.168.45.4,IPv4,1514
41,1.063534000,192.168.45.2,192.168.45.4,IPv4,1514
42,1.075893000,192.168.45.2,192.168.45.4,IPv4,1514
43,1.094397000,192.168.45.2,192.168.45.4,UDP,802
57,1.414533000,192.168.45.2,192.168.45.4,IPv4,1514
58,1.438610000,192.168.45.2,192.168.45.4,IPv4,1514
59,1.474405000,192.168.45.2,192.168.45.4,IPv4,1514
60,1.498486000,192.168.45.2,192.168.45.4,IPv4,1514
61,1.534280000,192.168.45.2,192.168.45.4,IPv4,1514
62,1.628666000,192.168.45.2,192.168.45.4,IPv4,1514
63,1.652742000,192.168.45.2,192.168.45.4,IPv4,1514
64,1.676819000,192.168.45.2,192.168.45.4,IPv4,1514
65,1.712618000,192.168.45.2,192.168.45.4,IPv4,1514
66,1.724972000,192.168.45.2,192.168.45.4,IPv4,1514
67,1.737333000,192.168.45.2,192.168.45.4,IPv4,1514
68,1.749695000,192.168.45.2,192.168.45.4,IPv4,1514
69,1.773768000,192.168.45.2,192.168.45.4,IPv4,1514
70,1.776345000,192.168.45.2,192.168.45.4,UDP,263
71,1.788216000,192.168.45.2,192.168.45.4,IPv4,1514
72,1.812290000,192.168.45.2,192.168.45.4,IPv4,1514
73,1.848088000,192.168.45.2,192.168.45.4,IPv4,1514
74,1.872161000,192.168.45.2,192.168.45.4,IPv4,1514
75,1.884522000,192.168.45.2,192.168.45.4,IPv4,1514
76,1.908601000,192.168.45.2,192.168.45.4,IPv4,1514
77,1.944397000,192.168.45.2,192.168.45.4,IPv4,1514
78,1.968471000,192.168.45.2,192.168.45.4,IPv4,1514
79,1.992547000,192.168.45.2,192.168.45.4,IPv4,1514
80,2.016626000,192.168.45.2,192.168.45.4,IPv4,1514
81,2.034626000,192.168.45.2,192.168.45.4,UDP,737
82,2.058213000,192.168.45.2,192.168.45.4,IPv4,1514
83,2.082286000,192.168.45.2,192.168.45.4,IPv4,1514
84,2.094647000,192.168.45.2,192.168.45.4,IPv4,1514
85,2.130444000,192.168.45.2,192.168.45.4,IPv4,1514
86,2.166236000,192.168.45.2,192.168.45.4,IPv4,1514
87,2.178596000,192.168.45.2,192.168.45.4,IPv4,1514
88,2.202671000,192.168.45.2,192.168.45.4,IPv4,1514
89,2.226752000,192.168.45.2,192.168.45.4,IPv4,1514
90,2.239108000,192.168.45.2,192.168.45.4,IPv4,1514
91,2.286623000,192.168.45.2,192.168.45.4,IPv4,1514
92,2.307618000,192.168.45.2,192.168.45.4,UDP,1120
93,2.342918000,192.168.45.2,192.168.45.4,IPv4,1514
94,2.355277000,192.168.45.2,192.168.45.4,IPv4,1514
95,2.379352000,192.168.45.2,192.168.45.4,IPv4,1514
96,2.403434000,192.168.45.2,192.168.45.4,IPv4,1514
97,2.427507000,192.168.45.2,192.168.45.4,IPv4,1514
98,2.439868000,192.168.45.2,192.168.45.4,IPv4,1514
99,2.452229000,192.168.45.2,192.168.45.4,IPv4,1514
100,2.476304000,192.168.45.2,192.168.45.4,IPv4,1514
101,2.500378000,192.168.45.2,192.168.45.4,IPv4,1514
102,2.512739000,192.168.45.2,192.168.45.4,IPv4,1514
103,2.536815000,192.168.45.2,192.168.45.4,IPv4,1514
104,2.560894000,192.168.45.2,192.168.45.4,IPv4,1514
105,2.580381000,192.168.45.2,192.168.45.4,UDP,927
120,2.953880000,192.168.45.2,192.168.45.4,IPv4,1514
121,2.977955000,192.168.45.2,192.168.45.4,IPv4,1514
122,2.990316000,192.168.45.2,192.168.45.4,IPv4,1514
123,3.026110000,192.168.45.2,192.168.45.4,IPv4,1514
124,3.050186000,192.168.45.2,192.168.45.4,IPv4,1514
125,3.074264000,192.168.45.2,192.168.45.4,IPv4,1514
126,3.086619000,192.168.45.2,192.168.45.4,IPv4,1514
127,3.145854000,192.168.45.2,192.168.45.4,IPv4,1514
128,3.158212000,192.168.45.2,192.168.45.4,IPv4,1514
129,3.170576000,192.168.45.2,192.168.45.4,IPv4,1514
130,3.182935000,192.168.45.2,192.168.45.4,IPv4,1514
131,3.218722000,192.168.45.2,192.168.45.4,IPv4,1514
132,3.247871000,192.168.45.2,192.168.45.4,UDP,664
146,3.525872000,192.168.45.2,192.168.45.4,IPv4,1514
147,3.538230000,192.168.45.2,192.168.45.4,IPv4,1514
148,3.562306000,192.168.45.2,192.168.45.4,IPv4,1514
149,3.598101000,192.168.45.2,192.168.45.4,IPv4,1514
150,3.633895000,192.168.45.2,192.168.45.4,IPv4,1514
151,3.657970000,192.168.45.2,192.168.45.4,IPv4,1514
152,3.682051000,192.168.45.2,192.168.45.4,IPv4,1514
153,3.706126000,192.168.45.2,192.168.45.4,IPv4,1514
154,3.730201000,192.168.45.2,192.168.45.4,IPv4,1514
155,3.754281000,192.168.45.2,192.168.45.4,IPv4,1514
156,3.778355000,192.168.45.2,192.168.45.4,IPv4,1514
157,3.790717000,192.168.45.2,192.168.45.4,IPv4,1514
158,3.849948000,192.168.45.2,192.168.45.4,IPv4,1514
159,3.875701000,192.168.45.2,192.168.45.4,UDP,230
160,3.887575000,192.168.45.2,192.168.45.4,IPv4,1514
161,3.958526000,192.168.45.2,192.168.45.4,IPv4,1514
162,3.982599000,192.168.45.2,192.168.45.4,IPv4,1514
163,3.994959000,192.168.45.2,192.168.45.4,IPv4,1514
164,4.019035000,192.168.45.2,192.168.45.4,IPv4,1514
165,4.031399000,192.168.45.2,192.168.45.4,IPv4,1514
166,4.090625000,192.168.45.2,192.168.45.4,IPv4,1514
167,4.114705000,192.168.45.2,192.168.45.4,IPv4,1514
168,4.127061000,192.168.45.2,192.168.45.4,IPv4,1514
169,4.174579000,192.168.45.2,192.168.45.4,IPv4,1514
170,4.186936000,192.168.45.2,192.168.45.4,IPv4,1514
171,4.201853000,192.168.45.2,192.168.45.4,UDP,343
226,5.554998000,192.168.45.2,192.168.45.4,IPv4,1514
227,5.567356000,192.168.45.2,192.168.45.4,IPv4,1514
228,5.579715000,192.168.45.2,192.168.45.4,IPv4,1514
229,5.627227000,192.168.45.2,192.168.45.4,IPv4,1514
230,5.651305000,192.168.45.2,192.168.45.4,IPv4,1514
231,5.663662000,192.168.45.2,192.168.45.4,IPv4,1514
232,5.676021000,192.168.45.2,192.168.45.4,IPv4,1514
233,5.711817000,192.168.45.2,192.168.45.4,IPv4,1514
234,5.724177000,192.168.45.2,192.168.45.4,IPv4,1514
235,5.736536000,192.168.45.2,192.168.45.4,IPv4,1514
236,5.748896000,192.168.45.2,192.168.45.4,IPv4,1514
237,5.808127000,192.168.45.2,192.168.45.4,IPv4,1514
238,5.816057000,192.168.45.2,192.168.45.4,UDP,948
250,6.083733000,192.168.45.2,192.168.45.4,IPv4,1514
251,6.107807000,192.168.45.2,192.168.45.4,IPv4,1514
252,6.131889000,192.168.45.2,192.168.45.4,IPv4,1514
253,6.144249000,192.168.45.2,192.168.45.4,IPv4,1514
254,6.156603000,192.168.45.2,192.168.45.4,IPv4,1514
255,6.168965000,192.168.45.2,192.168.45.4,IPv4,1514
256,6.216478000,192.168.45.2,192.168.45.4,IPv4,1514
257,6.263989000,192.168.45.2,192.168.45.4,IPv4,1514
258,6.276348000,192.168.45.2,192.168.45.4,IPv4,1514
259,6.312146000,192.168.45.2,192.168.45.4,IPv4,1514
260,6.324506000,192.168.45.2,192.168.45.4,IPv4,1514
261,6.336864000,192.168.45.2,192.168.45.4,IPv4,1514
262,6.367102000,192.168.45.2,192.168.45.4,UDP,804
303,7.282545000,192.168.45.2,192.168.45.4,IPv4,1514
304,7.294902000,192.168.45.2,192.168.45.4,IPv4,1514
305,7.342418000,192.168.45.2,192.168.45.4,IPv4,1514
306,7.366492000,192.168.45.2,192.168.45.4,IPv4,1514
307,7.378852000,192.168.45.2,192.168.45.4,IPv4,1514
308,7.402928000,192.168.45.2,192.168.45.4,IPv4,1514
309,7.415291000,192.168.45.2,192.168.45.4,IPv4,1514
310,7.439362000,192.168.45.2,192.168.45.4,IPv4,1514
311,7.475157000,192.168.45.2,192.168.45.4,IPv4,1514
312,7.510953000,192.168.45.2,192.168.45.4,IPv4,1514
313,7.540193000,192.168.45.2,192.168.45.4,UDP,676
379,9.203950000,192.168.45.2,192.168.45.4,IPv4,1514
380,9.216310000,192.168.45.2,192.168.45.4,IPv4,1514
381,9.263819000,192.168.45.2,192.168.45.4,IPv4,1514
382,9.311334000,192.168.45.2,192.168.45.4,IPv4,1514
383,9.335410000,192.168.45.2,192.168.45.4,IPv4,1514
384,9.359491000,192.168.45.2,192.168.45.4,IPv4,1514
385,9.383567000,192.168.45.2,192.168.45.4,IPv4,1514
386,9.419363000,192.168.45.2,192.168.45.4,IPv4,1514
387,9.455156000,192.168.45.2,192.168.45.4,IPv4,1514
388,9.502672000,192.168.45.2,192.168.45.4,IPv4,1514
389,9.526749000,192.168.45.2,192.168.45.4,IPv4,1514
