No.,Time,Source,Destination,Protocol,Length
11,0.007293000,192.168.45.2,192.168.45.4,IPv4,1514
12,0.008086000,192.168.45.2,192.168.45.4,IPv4,1514
13,0.008874000,192.168.45.2,192.168.45.4,IPv4,1514
14,0.009667000,192.168.45.2,192.168.45.4,IPv4,1514
15,0.010456000,192.168.45.2,192.168.45.4,IPv4,1514
16,0.011251000,192.168.45.2,192.168.45.4,IPv4,1514
17,0.012041000,192.168.45.2,192.168.45.4,IPv4,1514
18,0.012834000,192.168.45.2,192.168.45.4,IPv4,1514
19,0.013621000,192.168.45.2,192.168.45.4,IPv4,1514
20,0.013936000,192.168.45.2,192.168.45.4,UDP,564
21,0.014700000,192.168.45.2,192.168.45.4,IPv4,1514
22,0.015487000,192.168.45.2,192.168.45.4,IPv4,1514
23,0.016281000,192.168.45.2,192.168.45.4,IPv4,1514
24,0.017070000,192.168.45.2,192.168.45.4,IPv4,1514
25,0.017862000,192.168.45.2,192.168.45.4,IPv4,1514
26,0.018651000,192.168.45.2,192.168.45.4,IPv4,1514
27,0.019445000,192.168.45.2,192.168.45.4,IPv4,1514
28,0.020232000,192.168.45.2,192.168.45.4,IPv4,1514
29,0.021026000,192.168.45.2,192.168.45.4,IPv4,1514
30,0.021814000,192.168.45.2,192.168.45.4,IPv4,1514
31,0.021950000,192.168.45.2,192.168.45.4,UDP,210
32,0.022714000,192.168.45.2,192.168.45.4,IPv4,1514
33,0.023506000,192.168.45.2,192.168.45.4,IPv4,1514
34,0.024295000,192.168.45.2,192.168.45.4,IPv4,1514
35,0.025083000,192.168.45.2,192.168.45.4,IPv4,1514
36,0.025877000,192.168.45.2,192.168.45.4,IPv4,1514
37,0.026665000,192.168.45.2,192.168.45.4,IPv4,1514
38,0.027460000,192.168.45.2,192.168.45.4,IPv4,1514
39,0.028248000,192.168.45.2,192.168.45.4,IPv4,1514
40,0.029042000,192.168.45.2,192.168.45.4,IPv4,1514
41,0.029830000,192.168.45.2,192.168.45.4,IPv4,1514
42,0.030623000,192.168.45.2,192.168.45.4,IPv4,1514
43,0.031052000,192.168.45.2,192.168.45.4,UDP,802
57,0.045723000,192.168.45.2,192.168.45.4,IPv4,1514
58,0.046514000,192.168.45.2,192.168.45.4,IPv4,1514
59,0.047303000,192.168.45.2,192.168.45.4,IPv4,1514
60,0.048097000,192.168.45.2,192.168.45.4,IPv4,1514
61,0.048886000,192.168.45.2,192.168.45.4,IPv4,1514
62,0.049679000,192.168.45.2,192.168.45.4,IPv4,1514
63,0.050467000,192.168.45.2,192.168.45.4,IPv4,1514
64,0.051261000,192.168.45.2,192.168.45.4,IPv4,1514
65,0.052052000,192.168.45.2,192.168.45.4,IPv4,1514
66,0.052845000,192.168.45.2,192.168.45.4,IPv4,1514
67,0.053631000,192.168.45.2,192.168.45.4,IPv4,1514
68,0.054425000,192.168.45.2,192.168.45.4,IPv4,1514
69,0.055213000,192.168.45.2,192.168.45.4,IPv4,1514
70,0.055375000,192.168.45.2,192.168.45.4,UDP,263
71,0.056139000,192.168.45.2,192.168.45.4,IPv4,1514
72,0.056930000,192.168.45.2,192.168.45.4,IPv4,1514
73,0.057720000,192.168.45.2,192.168.45.4,IPv4,1514
74,0.058513000,192.168.45.2,192.168.45.4,IPv4,1514
75,0.059301000,192.168.45.2,192.168.45.4,IPv4,1514
76,0.060094000,192.168.45.2,192.168.45.4,IPv4,1514
77,0.060884000,192.168.45.2,192.168.45.4,IPv4,1514
78,0.061677000,192.168.45.2,192.168.45.4,IPv4,1514
79,0.062465000,192.168.45.2,192.168.45.4,IPv4,1514
80,0.063259000,192.168.45.2,192.168.45.4,IPv4,1514
81,0.063658000,192.168.45.2,192.168.45.4,UDP,737
82,0.064421000,192.168.45.2,192.168.45.4,IPv4,1514
83,0.065210000,192.168.45.2,192.168.45.4,IPv4,1514
84,0.066003000,192.168.45.2,192.168.45.4,IPv4,1514
85,0.066791000,192.168.45.2,192.168.45.4,IPv4,1514
86,0.067584000,192.168.45.2,192.168.45.4,IPv4,1514
87,0.068372000,192.168.45.2,192.168.45.4,IPv4,1514
88,0.069165000,192.168.45.2,192.168.45.4,IPv4,1514
89,0.069954000,192.168.45.2,192.168.45.4,IPv4,1514
90,0.070747000,192.168.45.2,192.168.45.4,IPv4,1514
91,0.071537000,192.168.45.2,192.168.45.4,IPv4,1514
92,0.072130000,192.168.45.2,192.168.45.4,UDP,1120
93,0.072893000,192.168.45.2,192.168.45.4,IPv4,1514
94,0.073679000,192.168.45.2,192.168.45.4,IPv4,1514
95,0.074473000,192.168.45.2,192.168.45.4,IPv4,1514
96,0.075262000,192.168.45.2,192.168.45.4,IPv4,1514
97,0.076056000,192.168.45.2,192.168.45.4,IPv4,1514
98,0.076844000,192.168.45.2,192.168.45.4,IPv4,1514
99,0.077638000,192.168.45.2,192.168.45.4,IPv4,1514
100,0.078428000,192.168.45.2,192.168.45.4,IPv4,1514
101,0.079222000,192.168.45.2,192.168.45.4,IPv4,1514
102,0.080008000,192.168.45.2,192.168.45.4,IPv4,1514
103,0.080802000,192.168.45.2,192.168.45.4,IPv4,1514
104,0.081591000,192.168.45.2,192.168.45.4,IPv4,1514
105,0.082085000,192.168.45.2,192.168.45.4,UDP,927
106,0.093243000,192.168.45.2,192.168.45.4,IPv4,1514
107,0.094036000,192.168.45.2,192.168.45.4,IPv4,1514
108,0.094824000,192.168.45.2,192.168.45.4,IPv4,1514
109,0.095619000,192.168.45.2,192.168.45.4,IPv4,1514
110,0.096406000,192.168.45.2,192.168.45.4,IPv4,1514
111,0.097199000,192.168.45.2,192.168.45.4,IPv4,1514
112,0.097988000,192.168.45.2,192.168.45.4,IPv4,1514
113,0.098782000,192.168.45.2,192.168.45.4,IPv4,1514
114,0.099570000,192.168.45.2,192.168.45.4,IPv4,1514
115,0.100363000,192.168.45.2,192.168.45.4,IPv4,1514
116,0.101154000,192.168.45.2,192.168.45.4,IPv4,1514
117,0.101947000,192.168.45.2,192.168.45.4,IPv4,1514
118,0.102306000,192.168.45.2,192.168.45.4,UDP,664
119,0.113348000,192.168.45.2,192.168.45.4,IPv4,1514
120,0.114142000,192.168.45.2,192.168.45.4,IPv4,1514
121,0.115724000,192.168.45.2,192.168.45.4,IPv4,1514
122,0.119276000,192.168.45.2,192.168.45.4,IPv4,1514
123,0.120069000,192.168.45.2,192.168.45.4,IPv4,1514
124,0.120858000,192.168.45.2,192.168.45.4,IPv4,1514
125,0.121653000,192.168.45.2,192.168.45.4,IPv4,1514
126,0.122442000,192.168.45.2,192.168.45.4,IPv4,1514
127,0.123229000,192.168.45.2,192.168.45.4,IPv4,1514
128,0.124022000,192.168.45.2,192.168.45.4,IPv4,1514
129,0.124810000,192.168.45.2,192.168.45.4,IPv4,1514
130,0.125605000,192.168.45.2,192.168.45.4,IPv4,1514
131,0.126393000,192.168.45.2,192.168.45.4,IPv4,1514
132,0.126541000,192.168.45.2,192.168.45.4,UDP,230
133,0.127302000,192.168.45.2,192.168.45.4,IPv4,1514
134,0.128094000,192.168.45.2,192.168.45.4,IPv4,1514
