No.,Time,Source,Destination,Protocol,Length
172,0.133666000,192.168.45.2,192.168.45.4,IPv4,1514
173,0.134459000,192.168.45.2,192.168.45.4,IPv4,1514
174,0.135246000,192.168.45.2,192.168.45.4,IPv4,1514
175,0.136038000,192.168.45.2,192.168.45.4,IPv4,1514
176,0.136833000,192.168.45.2,192.168.45.4,IPv4,1514
177,0.137620000,192.168.45.2,192.168.45.4,IPv4,1514
178,0.138402000,192.168.45.2,192.168.45.4,IPv4,1514
179,0.139210000,192.168.45.2,192.168.45.4,IPv4,1514
180,0.139991000,192.168.45.2,192.168.45.4,IPv4,1514
181,0.140306000,192.168.45.2,192.168.45.4,UDP,564
296,0.237128000,192.168.45.2,192.168.45.4,IPv4,1514
297,0.237919000,192.168.45.2,192.168.45.4,IPv4,1514
298,0.238707000,192.168.45.2,192.168.45.4,IPv4,1514
299,0.239502000,192.168.45.2,192.168.45.4,IPv4,1514
300,0.240290000,192.168.45.2,192.168.45.4,IPv4,1514
301,0.241083000,192.168.45.2,192.168.45.4,IPv4,1514
302,0.241871000,192.168.45.2,192.168.45.4,IPv4,1514
303,0.242661000,192.168.45.2,192.168.45.4,IPv4,1514
304,0.243453000,192.168.45.2,192.168.45.4,IPv4,1514
305,0.244247000,192.168.45.2,192.168.45.4,IPv4,1514
306,0.245036000,192.168.45.2,192.168.45.4,IPv4,1514
307,0.245472000,192.168.45.2,192.168.45.4,UDP,802
394,0.311392000,192.168.45.2,192.168.45.4,IPv4,1514
395,0.312190000,192.168.45.2,192.168.45.4,IPv4,1514
396,0.312978000,192.168.45.2,192.168.45.4,IPv4,1514
397,0.313771000,192.168.45.2,192.168.45.4,IPv4,1514
398,0.314561000,192.168.45.2,192.168.45.4,IPv4,1514
399,0.315353000,192.168.45.2,192.168.45.4,IPv4,1514
400,0.316142000,192.168.45.2,192.168.45.4,IPv4,1514
401,0.316935000,192.168.45.2,192.168.45.4,IPv4,1514
402,0.317722000,192.168.45.2,192.168.45.4,IPv4,1514
403,0.318518000,192.168.45.2,192.168.45.4,IPv4,1514
404,0.318653000,192.168.45.2,192.168.45.4,UDP,210
661,0.527089000,192.168.45.2,192.168.45.4,IPv4,1514
662,0.527905000,192.168.45.2,192.168.45.4,IPv4,1514
663,0.528683000,192.168.45.2,192.168.45.4,IPv4,1514
664,0.529484000,192.168.45.2,192.168.45.4,IPv4,1514
665,0.530267000,192.168.45.2,192.168.45.4,IPv4,1514
666,0.531056000,192.168.45.2,192.168.45.4,IPv4,1514
667,0.531840000,192.168.45.2,192.168.45.4,IPv4,1514
668,0.532639000,192.168.45.2,192.168.45.4,IPv4,1514
669,0.533434000,192.168.45.2,192.168.45.4,IPv4,1514
670,0.534221000,192.168.45.2,192.168.45.4,IPv4,1514
671,0.535023000,192.168.45.2,192.168.45.4,IPv4,1514
672,0.535801000,192.168.45.2,192.168.45.4,IPv4,1514
