"Interval start","All packets","Keyframes","Non-Keyframes"
0,127,0,127
0.1,125,10,115
0.2,126,12,114
0.3,125,11,114
0.4,125,0,125
0.5,124,14,110
0.6,127,11,116
0.7,124,13,111
0.8,125,11,114
0.9,127,0,127
1,130,0,130
1.1,126,0,126
1.2,128,14,114
1.3,121,0,121
1.4,126,12,114
1.5,124,0,124
1.6,126,0,126
1.7,125,0,125
1.8,126,0,126
1.9,124,13,111
2,128,0,128
2.1,127,13,114
2.2,126,0,126
2.3,126,0,126
2.4,122,0,122
2.5,128,0,128
2.6,126,11,115
2.7,126,0,126
2.8,126,0,126
2.9,126,0,126
3,122,0,122
3.1,127,0,127
3.2,127,26,101
3.3,125,0,125
3.4,127,12,115
3.5,122,0,122
3.6,132,0,132
3.7,121,0,121
3.8,126,13,113
3.9,127,13,114
4,127,3,124
4.1,130,0,130
4.2,123,0,123
4.3,125,25,100
4.4,127,0,127
4.5,127,14,113
4.6,123,0,123
4.7,125,13,112
4.8,121,0,121
4.9,128,13,115
5,125,14,111
5.1,120,11,109
5.2,129,0,129
5.3,128,0,128
5.4,131,0,131
5.5,128,14,114
5.6,126,0,126
5.7,125,0,125
5.8,120,0,120
5.9,127,0,127
6,125,0,125
6.1,126,0,126
6.2,127,0,127
6.3,127,0,127
6.4,127,0,127
6.5,123,0,123
6.6,127,0,127
6.7,126,0,126
6.8,127,11,116
6.9,116,0,116
7,123,13,110
7.1,132,0,132
7.2,124,0,124
7.3,126,0,126
7.4,125,16,109
7.5,124,11,113
7.6,125,16,109
7.7,124,0,124
7.8,126,13,113
7.9,127,0,127
8,126,13,113
8.1,127,0,127
8.2,124,12,112
8.3,122,0,122
8.4,124,11,113
8.5,125,0,125
8.6,124,14,110
8.7,127,0,127
8.8,123,12,111
8.9,125,0,125
9,125,0,125
9.1,126,0,126
9.2,127,16,111
9.3,123,0,123
9.4,126,0,126
9.5,129,0,129
9.6,128,0,128
9.7,121,0,121
9.8,128,15,113
9.9,123,11,112
10,125,12,113
10.1,127,0,127
10.2,127,0,127
10.3,127,0,127
10.4,121,0,121
10.5,127,0,127
10.6,133,16,117
10.7,127,0,127
10.8,122,14,108
10.9,123,0,123
11,126,14,112
11.1,126,0,126
11.2,125,12,113
11.3,126,0,126
11.4,127,13,114
11.5,126,0,126
11.6,124,0,124
11.7,125,11,114
11.8,126,2,124
11.9,126,0,126
12,121,13,108
12.1,126,0,126
12.2,125,13,112
12.3,125,0,125
12.4,111,12,99
