No.,Time,Source,Destination,Protocol,Length
1,0.000000000,127.0.0.1,127.0.0.1,UDP,1556
2,0.012640000,127.0.0.1,127.0.0.1,UDP,1556
3,0.025302000,127.0.0.1,127.0.0.1,UDP,1556
4,0.037948000,127.0.0.1,127.0.0.1,UDP,1556
5,0.050603000,127.0.0.1,127.0.0.1,UDP,1556
6,0.063258000,127.0.0.1,127.0.0.1,UDP,1556
7,0.075916000,127.0.0.1,127.0.0.1,UDP,1556
8,0.088571000,127.0.0.1,127.0.0.1,UDP,1556
9,0.101224000,127.0.0.1,127.0.0.1,UDP,1556
10,0.104282000,127.0.0.1,127.0.0.1,UDP,357
11,0.116436000,127.0.0.1,127.0.0.1,UDP,1556
12,0.129084000,127.0.0.1,127.0.0.1,UDP,1556
13,0.141742000,127.0.0.1,127.0.0.1,UDP,1556
14,0.154398000,127.0.0.1,127.0.0.1,UDP,1556
15,0.167052000,127.0.0.1,127.0.0.1,UDP,1556
16,0.179708000,127.0.0.1,127.0.0.1,UDP,1556
17,0.192365000,127.0.0.1,127.0.0.1,UDP,1556
18,0.205022000,127.0.0.1,127.0.0.1,UDP,1556
19,0.217677000,127.0.0.1,127.0.0.1,UDP,1556
20,0.230334000,127.0.0.1,127.0.0.1,UDP,1556
21,0.235874000,127.0.0.1,127.0.0.1,UDP,667
22,0.248021000,127.0.0.1,127.0.0.1,UDP,1556
23,0.260683000,127.0.0.1,127.0.0.1,UDP,1556
24,0.273328000,127.0.0.1,127.0.0.1,UDP,1556
25,0.285992000,127.0.0.1,127.0.0.1,UDP,1556
26,0.298638000,127.0.0.1,127.0.0.1,UDP,1556
27,0.311298000,127.0.0.1,127.0.0.1,UDP,1556
28,0.323990000,127.0.0.1,127.0.0.1,UDP,1556
29,0.336630000,127.0.0.1,127.0.0.1,UDP,1556
30,0.349263000,127.0.0.1,127.0.0.1,UDP,1556
31,0.361926000,127.0.0.1,127.0.0.1,UDP,1556
32,0.374572000,127.0.0.1,127.0.0.1,UDP,1556
33,0.387230000,127.0.0.1,127.0.0.1,UDP,1556
34,0.399882000,127.0.0.1,127.0.0.1,UDP,1556
35,0.412535000,127.0.0.1,127.0.0.1,UDP,1556
36,0.425196000,127.0.0.1,127.0.0.1,UDP,1556
37,0.437852000,127.0.0.1,127.0.0.1,UDP,1556
38,0.450502000,127.0.0.1,127.0.0.1,UDP,1556
39,0.463165000,127.0.0.1,127.0.0.1,UDP,1556
40,0.475814000,127.0.0.1,127.0.0.1,UDP,1556
41,0.488475000,127.0.0.1,127.0.0.1,UDP,1556
42,0.501126000,127.0.0.1,127.0.0.1,UDP,1556
43,0.513780000,127.0.0.1,127.0.0.1,UDP,1556
44,0.526444000,127.0.0.1,127.0.0.1,UDP,1556
45,0.539091000,127.0.0.1,127.0.0.1,UDP,1556
46,0.551751000,127.0.0.1,127.0.0.1,UDP,1556
47,0.564406000,127.0.0.1,127.0.0.1,UDP,1556
48,0.570153000,127.0.0.1,127.0.0.1,UDP,693
49,0.582296000,127.0.0.1,127.0.0.1,UDP,1556
50,0.594957000,127.0.0.1,127.0.0.1,UDP,1556
51,0.607606000,127.0.0.1,127.0.0.1,UDP,1556
52,0.620266000,127.0.0.1,127.0.0.1,UDP,1556
53,0.632926000,127.0.0.1,127.0.0.1,UDP,1556
54,0.645574000,127.0.0.1,127.0.0.1,UDP,1556
55,0.658236000,127.0.0.1,127.0.0.1,UDP,1556
56,0.670886000,127.0.0.1,127.0.0.1,UDP,1556
57,0.683543000,127.0.0.1,127.0.0.1,UDP,1556
58,0.696198000,127.0.0.1,127.0.0.1,UDP,1556
59,0.699714000,127.0.0.1,127.0.0.1,UDP,414
60,0.711864000,127.0.0.1,127.0.0.1,UDP,1556
61,0.724520000,127.0.0.1,127.0.0.1,UDP,1556
62,0.737173000,127.0.0.1,127.0.0.1,UDP,1556
63,0.749825000,127.0.0.1,127.0.0.1,UDP,1556
64,0.762494000,127.0.0.1,127.0.0.1,UDP,1556
65,0.775141000,127.0.0.1,127.0.0.1,UDP,1556
66,0.787810000,127.0.0.1,127.0.0.1,UDP,1556
67,0.800458000,127.0.0.1,127.0.0.1,UDP,1556
68,0.813104000,127.0.0.1,127.0.0.1,UDP,1556
69,0.825767000,127.0.0.1,127.0.0.1,UDP,1556
70,0.838414000,127.0.0.1,127.0.0.1,UDP,1556
71,0.851071000,127.0.0.1,127.0.0.1,UDP,1556
72,0.863723000,127.0.0.1,127.0.0.1,UDP,1556
73,0.876385000,127.0.0.1,127.0.0.1,UDP,1556
74,0.889040000,127.0.0.1,127.0.0.1,UDP,1556
75,0.901696000,127.0.0.1,127.0.0.1,UDP,1556
76,0.914349000,127.0.0.1,127.0.0.1,UDP,1556
77,0.927011000,127.0.0.1,127.0.0.1,UDP,1556
78,0.939658000,127.0.0.1,127.0.0.1,UDP,1556
79,0.942359000,127.0.0.1,127.0.0.1,UDP,312
80,0.954505000,127.0.0.1,127.0.0.1,UDP,1556
81,0.967166000,127.0.0.1,127.0.0.1,UDP,1556
82,0.979815000,127.0.0.1,127.0.0.1,UDP,1556
83,0.992474000,127.0.0.1,127.0.0.1,UDP,1556
84,1.005134000,127.0.0.1,127.0.0.1,UDP,1556
85,1.017784000,127.0.0.1,127.0.0.1,UDP,1556
86,1.030445000,127.0.0.1,127.0.0.1,UDP,1556
87,1.043092000,127.0.0.1,127.0.0.1,UDP,1556
88,1.055753000,127.0.0.1,127.0.0.1,UDP,1556
89,1.068408000,127.0.0.1,127.0.0.1,UDP,1556
90,1.070576000,127.0.0.1,127.0.0.1,UDP,246
91,1.082730000,127.0.0.1,127.0.0.1,UDP,1556
92,1.095380000,127.0.0.1,127.0.0.1,UDP,1556
93,1.108041000,127.0.0.1,127.0.0.1,UDP,1556
94,1.120690000,127.0.0.1,127.0.0.1,UDP,1556
95,1.133352000,127.0.0.1,127.0.0.1,UDP,1556
96,1.146003000,127.0.0.1,127.0.0.1,UDP,1556
97,1.158658000,127.0.0.1,127.0.0.1,UDP,1556
98,1.171318000,127.0.0.1,127.0.0.1,UDP,1556
99,1.183969000,127.0.0.1,127.0.0.1,UDP,1556
100,1.187054000,127.0.0.1,127.0.0.1,UDP,360
101,1.199206000,127.0.0.1,127.0.0.1,UDP,1556
102,1.211856000,127.0.0.1,127.0.0.1,UDP,1556
103,1.224510000,127.0.0.1,127.0.0.1,UDP,1556
104,1.237172000,127.0.0.1,127.0.0.1,UDP,1556
105,1.249820000,127.0.0.1,127.0.0.1,UDP,1556
106,1.262485000,127.0.0.1,127.0.0.1,UDP,1556
107,1.275139000,127.0.0.1,127.0.0.1,UDP,1556
108,1.287791000,127.0.0.1,127.0.0.1,UDP,1556
109,1.300448000,127.0.0.1,127.0.0.1,UDP,1556
110,1.313100000,127.0.0.1,127.0.0.1,UDP,1556
111,1.325758000,127.0.0.1,127.0.0.1,UDP,1556
112,1.329022000,127.0.0.1,127.0.0.1,UDP,383
113,1.341175000,127.0.0.1,127.0.0.1,UDP,1556
114,1.353823000,127.0.0.1,127.0.0.1,UDP,1556
115,1.366481000,127.0.0.1,127.0.0.1,UDP,1556
116,1.379145000,127.0.0.1,127.0.0.1,UDP,1556
117,1.391793000,127.0.0.1,127.0.0.1,UDP,1556
118,1.404452000,127.0.0.1,127.0.0.1,UDP,1556
119,1.417101000,127.0.0.1,127.0.0.1,UDP,1556
120,1.429759000,127.0.0.1,127.0.0.1,UDP,1556
121,1.442418000,127.0.0.1,127.0.0.1,UDP,1556
