No.,Time,Source,Destination,Protocol,Length
1,0.000000000,192.168.45.2,192.168.45.4,IPv4,1514
2,0.012649000,192.168.45.2,192.168.45.4,IPv4,1514
3,0.025306000,192.168.45.2,192.168.45.4,IPv4,1514
4,0.037965000,192.168.45.2,192.168.45.4,IPv4,1514
5,0.050616000,192.168.45.2,192.168.45.4,IPv4,1514
6,0.101239000,192.168.45.2,192.168.45.4,IPv4,1514
7,0.139205000,192.168.45.2,192.168.45.4,IPv4,1514
8,0.151861000,192.168.45.2,192.168.45.4,IPv4,1514
9,0.164513000,192.168.45.2,192.168.45.4,IPv4,1514
10,0.167599000,192.168.45.2,192.168.45.4,UDP,318
44,0.572118000,192.168.45.2,192.168.45.4,IPv4,1514
45,0.584768000,192.168.45.2,192.168.45.4,IPv4,1514
46,0.597425000,192.168.45.2,192.168.45.4,IPv4,1514
47,0.610078000,192.168.45.2,192.168.45.4,IPv4,1514
48,0.622736000,192.168.45.2,192.168.45.4,IPv4,1514
49,0.635395000,192.168.45.2,192.168.45.4,IPv4,1514
50,0.648045000,192.168.45.2,192.168.45.4,IPv4,1514
51,0.660704000,192.168.45.2,192.168.45.4,IPv4,1514
52,0.673355000,192.168.45.2,192.168.45.4,IPv4,1514
53,0.686013000,192.168.45.2,192.168.45.4,IPv4,1514
54,0.698651000,192.168.45.2,192.168.45.4,IPv4,1514
55,0.711322000,192.168.45.2,192.168.45.4,IPv4,1514
56,0.719657000,192.168.45.2,192.168.45.4,UDP,972
106,1.325787000,192.168.45.2,192.168.45.4,IPv4,1514
107,1.395434000,192.168.45.2,192.168.45.4,IPv4,1514
108,1.408081000,192.168.45.2,192.168.45.4,IPv4,1514
109,1.420744000,192.168.45.2,192.168.45.4,IPv4,1514
110,1.433394000,192.168.45.2,192.168.45.4,IPv4,1514
111,1.446053000,192.168.45.2,192.168.45.4,IPv4,1514
112,1.458708000,192.168.45.2,192.168.45.4,IPv4,1514
113,1.471364000,192.168.45.2,192.168.45.4,IPv4,1514
114,1.484021000,192.168.45.2,192.168.45.4,IPv4,1514
115,1.496674000,192.168.45.2,192.168.45.4,IPv4,1514
116,1.509331000,192.168.45.2,192.168.45.4,IPv4,1514
117,1.521984000,192.168.45.2,192.168.45.4,IPv4,1514
118,1.534642000,192.168.45.2,192.168.45.4,IPv4,1514
119,1.536950000,192.168.45.2,192.168.45.4,UDP,221
133,1.706312000,192.168.45.2,192.168.45.4,IPv4,1514
134,1.718962000,192.168.45.2,192.168.45.4,IPv4,1514
135,1.731617000,192.168.45.2,192.168.45.4,IPv4,1514
136,1.744269000,192.168.45.2,192.168.45.4,IPv4,1514
137,1.756928000,192.168.45.2,192.168.45.4,IPv4,1514
138,1.769586000,192.168.45.2,192.168.45.4,IPv4,1514
139,1.782273000,192.168.45.2,192.168.45.4,IPv4,1514
140,1.794895000,192.168.45.2,192.168.45.4,IPv4,1514
141,1.807549000,192.168.45.2,192.168.45.4,IPv4,1514
142,1.820205000,192.168.45.2,192.168.45.4,IPv4,1514
143,1.832860000,192.168.45.2,192.168.45.4,IPv4,1514
144,1.845521000,192.168.45.2,192.168.45.4,IPv4,1514
145,1.858173000,192.168.45.2,192.168.45.4,IPv4,1514
172,2.179206000,192.168.45.2,192.168.45.4,IPv4,1514
173,2.191863000,192.168.45.2,192.168.45.4,IPv4,1514
174,2.204516000,192.168.45.2,192.168.45.4,IPv4,1514
175,2.217177000,192.168.45.2,192.168.45.4,IPv4,1514
176,2.229826000,192.168.45.2,192.168.45.4,IPv4,1514
177,2.242484000,192.168.45.2,192.168.45.4,IPv4,1514
178,2.255136000,192.168.45.2,192.168.45.4,IPv4,1514
179,2.267794000,192.168.45.2,192.168.45.4,IPv4,1514
180,2.280454000,192.168.45.2,192.168.45.4,IPv4,1514
181,2.293105000,192.168.45.2,192.168.45.4,IPv4,1514
182,2.305773000,192.168.45.2,192.168.45.4,IPv4,1514
183,2.315799000,192.168.45.2,192.168.45.4,UDP,1187
184,2.327942000,192.168.45.2,192.168.45.4,IPv4,1514
185,2.340600000,192.168.45.2,192.168.45.4,IPv4,1514
